,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
0,27/07/2024,Anderlecht,St Truiden,1,0,H,0.0,0.0,D,1.5,5.75,3.9,0,0,0,0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
1,27/07/2024,Beerschot VA,Oud-Heverlee Leuven,0,0,D,0.0,0.0,D,2.7,2.45,3.25,0,0,0,0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
2,28/07/2024,Charleroi,Antwerp,0,1,A,0.0,1.0,A,3.0,2.1,3.5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
3,26/07/2024,Club Brugge,Mechelen,1,1,D,0.0,0.0,D,1.36,8.5,4.33,0,0,0,0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
4,27/07/2024,Dender,St. Gilloise,0,0,D,0.0,0.0,D,6.5,1.42,4.2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
5,28/07/2024,Genk,Standard,0,0,D,0.0,0.0,D,1.48,6.5,3.9,0,0,0,0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
6,28/07/2024,Kortrijk,Gent,0,1,A,0.0,0.0,D,4.75,1.57,3.9,0,0,0,0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
7,28/07/2024,Westerlo,Cercle Brugge,3,0,H,1.0,0.0,H,2.88,2.25,3.4,0,0,0,0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
8,02/08/2024,St. Gilloise,Beerschot VA,3,1,H,2.0,0.0,H,1.33,7.5,4.75,0,0,0,0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
9,03/08/2024,Mechelen,Westerlo,2,4,A,0.0,2.0,A,1.9,3.5,3.7,1,3,1,0,0.0,1.0,0.0,0.0,1,3,M,M,M,M,M,M,M,M,M,M,2
10,03/08/2024,Oud-Heverlee Leuven,Genk,3,1,H,2.0,0.0,H,3.25,2.1,3.3,0,0,0,0,0.0,0.0,0.0,0.0,1,1,D,D,M,M,M,M,M,M,M,M,2
11,03/08/2024,St Truiden,Charleroi,1,4,A,0.0,4.0,A,2.4,2.75,3.2,0,0,1,1,0.0,0.0,0.0,1.0,0,0,L,L,M,M,M,M,M,M,M,M,2
12,04/08/2024,Antwerp,Anderlecht,1,2,A,1.0,1.0,D,2.63,2.5,3.3,1,1,0,0,1.0,0.0,0.0,0.0,3,3,W,W,M,M,M,M,M,M,M,M,2
13,04/08/2024,Cercle Brugge,Kortrijk,1,2,A,1.0,1.0,D,1.6,4.75,4.0,0,0,3,1,0.0,0.0,1.0,0.0,0,0,L,L,M,M,M,M,M,M,M,M,2
14,04/08/2024,Standard,Club Brugge,1,0,H,0.0,0.0,D,5.25,1.53,4.2,0,1,0,1,0.0,0.0,0.0,0.0,1,1,D,D,M,M,M,M,M,M,M,M,2
15,04/08/2024,Gent,Dender,1,2,A,0.0,1.0,A,1.3,8.5,5.0,1,0,0,0,0.0,0.0,0.0,0.0,3,1,W,D,M,M,M,M,M,M,M,M,2
16,09/08/2024,Standard,Mechelen,0,0,D,0.0,0.0,D,2.45,2.8,3.4,0,1,0,1,0.0,0.0,0.0,0.0,1,1,D,D,M,M,M,M,M,M,M,M,2
17,10/08/2024,Dender,Kortrijk,4,1,H,2.0,1.0,H,2.15,3.2,3.4,0,0,0,1,0.0,0.0,0.0,0.0,1,0,D,L,M,M,M,M,M,M,M,M,2
18,10/08/2024,Westerlo,St. Gilloise,4,3,H,3.0,1.0,H,3.6,1.95,3.7,7,3,2,1,3.0,2.0,0.0,0.0,6,4,W,W,M,M,M,M,M,M,M,M,3
19,10/08/2024,Anderlecht,Oud-Heverlee Leuven,1,1,D,1.0,1.0,D,1.9,4.0,3.5,3,3,1,1,1.0,2.0,1.0,0.0,6,4,W,W,M,M,M,M,M,M,M,M,3
20,11/08/2024,Genk,Club Brugge,3,2,H,0.0,1.0,A,3.3,2.05,3.7,1,1,3,2,0.0,0.0,2.0,0.0,1,1,L,L,D,D,M,M,M,M,M,M,3
21,11/08/2024,Antwerp,St Truiden,6,1,H,2.0,0.0,H,1.38,8.0,4.5,2,1,2,5,2.0,0.0,1.0,4.0,3,0,L,L,W,L,M,M,M,M,M,M,3
22,11/08/2024,Charleroi,Gent,1,0,H,0.0,0.0,D,2.9,2.3,3.5,4,2,2,2,4.0,0.0,1.0,1.0,3,3,W,L,L,W,M,M,M,M,M,M,3
23,11/08/2024,Cercle Brugge,Beerschot VA,4,1,H,3.0,1.0,H,1.5,5.5,4.33,1,1,5,3,1.0,0.0,2.0,2.0,0,1,L,L,L,D,M,M,M,M,M,M,3
24,16/08/2024,St. Gilloise,Charleroi,1,0,H,0.0,0.0,D,1.8,4.1,3.8,3,4,1,2,2.0,4.0,0.0,1.0,4,3,W,W,D,L,M,M,M,M,M,M,3
25,17/08/2024,Beerschot VA,Genk,3,4,A,1.0,3.0,A,4.75,1.65,4.0,1,1,3,3,0.0,0.0,2.0,2.0,1,1,L,L,D,D,M,M,M,M,M,M,3
26,17/08/2024,St Truiden,Dender,3,3,D,2.0,1.0,H,2.55,2.7,3.4,1,2,5,1,0.0,1.0,4.0,0.0,0,4,L,W,L,D,M,M,M,M,M,M,3
27,17/08/2024,Mechelen,Anderlecht,1,3,A,1.0,2.0,A,3.4,2.1,3.5,3,4,5,2,0.0,2.0,2.0,2.0,2,7,D,D,L,W,M,M,M,M,M,M,4
28,18/08/2024,Club Brugge,Antwerp,1,0,H,0.0,0.0,D,1.75,4.5,3.7,3,8,5,3,1.0,4.0,0.0,1.0,1,6,L,W,L,L,M,M,M,M,M,M,4
29,18/08/2024,Oud-Heverlee Leuven,Cercle Brugge,1,1,D,1.0,1.0,D,2.8,2.5,3.25,4,5,2,6,3.0,4.0,1.0,3.0,5,3,D,W,W,L,M,M,M,M,M,M,4
30,18/08/2024,Kortrijk,Standard,1,0,H,0.0,0.0,D,2.7,2.63,3.2,3,1,6,0,2.0,0.0,3.0,0.0,3,5,L,D,W,W,L,D,M,M,M,M,4
31,18/08/2024,Gent,Westerlo,4,1,H,3.0,1.0,H,1.9,3.7,3.8,2,11,3,5,0.0,6.0,1.0,1.0,3,9,L,W,L,W,W,W,M,M,M,M,4
32,24/08/2024,Westerlo,Oud-Heverlee Leuven,1,1,D,1.0,1.0,D,1.95,3.4,3.5,11,4,5,2,6.0,3.0,1.0,1.0,9,5,W,D,W,W,W,D,M,M,M,M,4
33,24/08/2024,Antwerp,Mechelen,0,1,A,0.0,1.0,A,1.53,5.0,4.1,8,3,3,5,4.0,0.0,1.0,2.0,6,2,W,D,L,L,W,D,M,M,M,M,4
34,25/08/2024,Dender,Club Brugge,1,2,A,1.0,2.0,A,4.75,1.55,4.2,6,3,2,5,3.0,1.0,1.0,0.0,7,1,W,L,W,L,D,D,M,M,M,M,4
35,25/08/2024,St Truiden,St. Gilloise,0,0,D,0.0,0.0,D,5.5,1.48,4.1,2,6,11,5,0.0,3.0,6.0,3.0,0,4,L,L,L,W,L,D,M,M,M,M,4
36,25/08/2024,Standard,Beerschot VA,1,0,H,0.0,0.0,D,1.73,4.1,3.6,1,5,1,11,0.0,2.0,0.0,8.0,5,1,L,L,D,L,W,L,M,M,M,M,5
37,25/08/2024,Charleroi,Kortrijk,1,0,H,1.0,0.0,H,1.7,4.33,3.6,5,4,3,6,4.0,2.0,1.0,3.0,6,6,L,W,W,L,W,W,M,M,M,M,5
