,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
0,17/08/2024,PAOK,Panserraikos,3,2,H,2,1,H,1.17,15.0,8.0,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
1,17/08/2024,Volos NFC,Olympiakos,0,2,A,0,1,A,10.0,1.3,5.0,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
2,18/08/2024,Levadeiakos,Athens Kallithea,0,0,D,0,0,D,2.45,3.2,2.88,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
3,18/08/2024,Panathinaikos,Asteras Tripolis,0,1,A,0,0,D,1.33,10.0,4.75,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
4,18/08/2024,Atromitos,Aris,1,1,D,0,0,D,2.88,2.5,3.2,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
5,18/08/2024,AEK,OFI Crete,3,0,H,2,0,H,1.22,13.0,6.0,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
6,19/08/2024,Panetolikos,Lamia,0,1,A,0,0,D,2.15,3.4,3.25,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
7,24/08/2024,OFI Crete,Atromitos,1,1,D,1,0,H,2.2,3.25,3.4,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
8,24/08/2024,Panserraikos,Aris,0,1,A,0,1,A,2.7,2.63,3.2,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
9,24/08/2024,AEK,Lamia,1,1,D,0,1,A,1.13,17.0,8.5,3,1,0,0,2,0,0,0,3,3,M,M,M,M,M,M,M,M,M,M,2
10,25/08/2024,Asteras Tripolis,Volos NFC,0,1,A,0,1,A,2.1,3.6,3.2,1,0,0,2,0,0,0,1,3,0,W,L,M,M,M,M,M,M,M,M,2
11,25/08/2024,PAOK,Panetolikos,2,0,H,0,0,D,1.22,11.0,6.5,3,0,2,1,2,0,1,0,3,0,W,L,M,M,M,M,M,M,M,M,2
12,25/08/2024,Panathinaikos,Levadeiakos,1,0,H,0,0,D,1.2,15.0,6.0,0,0,1,0,0,0,0,0,0,1,L,D,M,M,M,M,M,M,M,M,2
13,26/08/2024,Olympiakos,Athens Kallithea,2,1,H,1,0,H,1.11,21.0,8.0,2,0,0,0,1,0,0,0,3,1,W,D,M,M,M,M,M,M,M,M,2
14,31/08/2024,Lamia,Olympiakos,0,3,A,0,1,A,13.0,1.22,5.75,1,2,0,0,0,1,0,0,3,3,W,W,M,M,M,M,M,M,M,M,2
15,31/08/2024,Aris,Asteras Tripolis,1,1,D,0,0,D,1.65,5.5,3.6,1,1,1,0,0,0,0,0,1,3,D,W,M,M,M,M,M,M,M,M,2
16,31/08/2024,Panetolikos,Panserraikos,3,0,H,1,0,H,1.95,4.2,3.2,0,2,1,3,0,1,0,2,0,0,L,L,M,M,M,M,M,M,M,M,2
17,01/09/2024,Levadeiakos,AEK,0,3,A,0,1,A,11.0,1.27,5.5,0,3,0,0,0,2,0,0,1,3,D,W,M,M,M,M,M,M,M,M,2
18,01/09/2024,Volos NFC,OFI Crete,1,3,A,0,1,A,2.5,2.9,3.1,1,1,2,4,1,1,1,2,3,1,W,D,M,M,M,M,M,M,M,M,3
19,01/09/2024,Atromitos,PAOK,1,2,A,0,1,A,6.25,1.44,4.75,2,5,2,2,0,2,1,1,2,6,D,W,M,M,M,M,M,M,M,M,3
20,01/09/2024,Athens Kallithea,Panathinaikos,2,2,D,1,1,D,8.0,1.4,4.33,1,1,2,1,0,0,1,0,1,3,L,W,D,L,M,M,M,M,M,M,3
21,14/09/2024,Lamia,Athens Kallithea,0,0,D,0,0,D,2.25,3.3,3.2,2,1,1,2,1,0,0,1,4,1,D,L,W,D,M,M,M,M,M,M,3
22,14/09/2024,Asteras Tripolis,Atromitos,1,2,A,1,2,A,1.91,4.0,3.4,1,2,1,2,0,0,1,1,3,2,L,D,W,D,M,M,M,M,M,M,3
23,15/09/2024,Panserraikos,Levadeiakos,2,2,D,2,0,H,2.15,3.8,3.0,2,0,4,1,1,0,3,0,0,1,L,L,L,D,M,M,M,M,M,M,3
24,15/09/2024,Olympiakos,Panetolikos,0,0,D,0,0,D,1.14,17.0,8.0,4,0,1,3,2,0,0,0,6,0,W,L,W,L,M,M,M,M,M,M,3
25,15/09/2024,OFI Crete,Aris,3,2,H,1,0,H,3.1,2.3,3.3,1,2,4,1,1,1,2,0,1,4,D,W,L,D,M,M,M,M,M,M,3
26,15/09/2024,PAOK,Panathinaikos,0,0,D,0,0,D,1.83,4.5,3.4,5,1,2,1,2,0,1,0,6,3,W,W,W,L,M,M,M,M,M,M,3
27,16/09/2024,AEK,Volos NFC,2,0,H,1,0,H,1.11,16.0,10.0,7,2,1,5,3,1,1,2,7,3,W,L,D,W,M,M,M,M,M,M,4
28,21/09/2024,Volos NFC,PAOK,1,4,A,0,1,A,8.0,1.33,5.25,2,7,5,3,1,3,2,1,3,9,L,W,W,W,M,M,M,M,M,M,4
29,21/09/2024,Aris,Olympiakos,2,1,H,2,0,H,6.0,1.6,3.9,3,7,2,1,1,3,0,0,5,9,D,W,W,W,M,M,M,M,M,M,4
