,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
0,09/08/2024,Sp Lisbon,Rio Ave,3,1,H,2,0,H,1.17,13.0,8.0,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
1,10/08/2024,AVS,Nacional,1,1,D,0,1,A,2.25,3.2,3.25,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
2,10/08/2024,Casa Pia,Boavista,0,1,A,0,0,D,1.91,4.0,3.4,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
3,10/08/2024,Porto,Gil Vicente,3,0,H,1,0,H,1.18,15.0,6.5,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
4,11/08/2024,Estoril,Santa Clara,1,4,A,1,1,D,2.15,3.6,3.1,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
5,11/08/2024,Famalicao,Benfica,2,0,H,1,0,H,7.0,1.44,4.33,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
6,11/08/2024,Farense,Moreirense,1,2,A,0,1,A,2.9,2.4,3.25,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
7,11/08/2024,Sp Braga,Estrela,1,1,D,0,0,D,1.38,7.5,4.75,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
8,12/08/2024,Arouca,Guimaraes,0,1,A,0,1,A,2.88,2.38,3.4,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
9,16/08/2024,Santa Clara,Porto,0,2,A,0,2,A,6.0,1.53,4.1,4,3,1,0,1,1,1,0,3,3,M,M,M,M,M,M,M,M,M,M,2
10,16/08/2024,Gil Vicente,AVS,4,2,H,2,2,D,2.2,3.3,3.25,0,1,3,1,0,0,1,1,0,1,L,D,M,M,M,M,M,M,M,M,2
11,17/08/2024,Rio Ave,Farense,1,0,H,1,0,H,2.0,3.9,3.3,1,1,3,2,0,0,2,1,0,0,L,L,M,M,M,M,M,M,M,M,2
12,17/08/2024,Nacional,Sp Lisbon,1,6,A,1,2,A,10.0,1.25,6.0,1,3,1,1,1,2,0,0,1,3,D,W,M,M,M,M,M,M,M,M,2
13,17/08/2024,Benfica,Casa Pia,3,0,H,0,0,D,1.18,12.0,7.5,0,0,2,1,0,0,1,0,0,0,L,L,M,M,M,M,M,M,M,M,2
14,18/08/2024,Moreirense,Arouca,3,1,H,2,1,H,2.3,3.1,3.25,2,0,1,1,1,0,0,1,3,0,W,L,M,M,M,M,M,M,M,M,2
15,18/08/2024,Guimaraes,Estoril,1,0,H,1,0,H,1.57,5.5,4.0,1,1,0,4,1,1,0,1,3,0,W,L,M,M,M,M,M,M,M,M,2
16,18/08/2024,Boavista,Sp Braga,0,1,A,0,1,A,5.5,1.6,3.9,1,1,0,1,0,0,0,0,3,1,W,D,M,M,M,M,M,M,M,M,2
17,19/08/2024,Estrela,Famalicao,0,3,A,0,1,A,2.5,2.88,3.2,1,2,1,0,0,1,0,0,1,3,D,W,M,M,M,M,M,M,M,M,2
18,23/08/2024,Farense,Sp Lisbon,0,5,A,0,2,A,10.0,1.2,8.0,1,9,3,2,0,4,2,1,0,6,L,W,M,M,M,M,M,M,M,M,3
19,24/08/2024,Casa Pia,Santa Clara,0,2,A,0,0,D,2.75,2.63,3.1,0,4,4,3,0,1,0,3,0,3,L,L,M,M,M,M,M,M,M,M,3
20,24/08/2024,Porto,Rio Ave,2,0,H,2,0,H,1.25,10.0,6.25,5,2,0,3,3,1,0,2,6,3,W,W,W,L,M,M,M,M,M,M,3
21,24/08/2024,Benfica,Estrela,1,0,H,1,0,H,1.18,13.0,7.5,3,1,2,4,0,0,1,1,3,1,W,L,L,D,M,M,M,M,M,M,3
22,24/08/2024,Famalicao,Boavista,1,0,H,1,0,H,1.55,6.5,3.8,5,1,0,1,2,0,0,1,6,3,W,L,W,W,M,M,M,M,M,M,3
23,25/08/2024,Arouca,Nacional,1,0,H,1,0,H,2.05,3.5,3.4,1,2,4,7,1,2,3,2,0,1,L,L,L,D,M,M,M,M,M,M,3
24,25/08/2024,Estoril,Gil Vicente,0,0,D,0,0,D,2.6,2.63,3.3,1,4,5,5,1,2,2,3,0,3,L,W,L,L,M,M,M,M,M,M,3
25,25/08/2024,AVS,Guimaraes,1,0,H,0,0,D,4.2,1.91,3.3,3,2,5,0,2,2,3,0,1,6,L,W,D,W,M,M,M,M,M,M,3
26,25/08/2024,Sp Braga,Moreirense,3,1,H,1,0,H,1.57,5.25,4.33,2,5,1,2,1,3,0,1,4,6,W,W,D,W,M,M,M,M,M,M,3
27,30/08/2024,Moreirense,Benfica,1,1,D,0,0,D,7.0,1.44,4.33,6,4,5,2,3,1,2,1,6,6,L,W,W,W,M,M,M,M,M,M,4
28,31/08/2024,Santa Clara,AVS,2,1,H,1,1,D,1.8,4.75,3.4,6,4,3,5,1,2,3,3,6,4,W,W,L,L,M,M,M,M,M,M,4
