,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
272,2025-05-03,NEC Nijmegen,Willem II,1,1,D,0,1,42,30,44,50,19,23,34,22,33,24,L,L,W,L,L,L,D,L,W,L,31
273,2025-05-03,Heracles,Feyenoord,1,4,A,0,1,37,68,52,32,31,26,27,25,35,62,L,W,W,W,D,W,W,W,D,W,31
274,2025-05-03,Groningen,Waalwijk,6,1,H,2,4,32,35,45,62,29,23,24,29,35,19,W,L,L,L,L,D,L,D,D,L,31
275,2025-05-03,PSV Eindhoven,Fortuna Sittard,4,1,H,2,2,89,34,34,49,38,23,30,18,67,36,W,W,W,L,W,D,L,L,W,L,31
276,2025-05-04,NAC Breda,PEC Zwolle,1,3,A,0,1,32,35,50,48,28,23,23,27,32,31,D,L,D,D,L,D,D,W,D,D,31
277,2025-05-04,GO Ahead Eagles,AZ Alkmaar,0,3,A,0,0,52,48,46,34,30,21,28,23,47,47,D,D,D,L,D,L,L,D,W,D,31
278,2025-05-04,Sparta Rotterdam,Twente,0,2,A,0,0,34,56,37,44,19,27,18,31,35,48,D,L,W,D,W,D,W,L,D,L,31
279,2025-05-09,Willem II,Heracles,1,2,A,0,1,31,38,51,56,24,31,22,28,25,35,D,L,L,L,L,W,L,D,L,W,32
280,2025-05-10,Waalwijk,Heerenveen,3,1,H,1,2,36,39,68,53,27,36,31,30,19,40,L,W,L,W,L,L,D,W,D,L,32
281,2025-05-10,Fortuna Sittard,NAC Breda,1,0,H,1,0,35,33,53,53,25,28,20,24,36,32,L,L,W,D,L,D,D,L,L,D,32
