country,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Netherlands,2025-08-08,Fortuna Sittard,GO Ahead Eagles,2.0,2.0,1.0,1.0,D
Netherlands,2025-08-09,NEC Nijmegen,Excelsior,5.0,0.0,1.0,0.0,H
Netherlands,2025-08-09,Feyenoord,NAC Breda,2.0,0.0,1.0,0.0,H
Netherlands,2025-08-09,Heerenveen,FC Volendam,1.0,1.0,1.0,0.0,D
Netherlands,2025-08-09,PSV Eindhoven,Sparta Rotterdam,6.0,1.0,3.0,0.0,H
Netherlands,2025-08-10,PEC Zwolle,Twente,1.0,0.0,1.0,0.0,H
Netherlands,2025-08-10,Ajax,Telstar,2.0,0.0,1.0,0.0,H
Netherlands,2025-08-10,AZ Alkmaar,Groningen,4.0,1.0,3.0,1.0,H
Netherlands,2025-08-10,Utrecht,Heracles,4.0,0.0,1.0,0.0,H
Netherlands,2025-08-15,Telstar,PEC Zwolle,0.0,2.0,0.0,1.0,A
Netherlands,2025-08-16,Excelsior,Feyenoord,1.0,2.0,1.0,2.0,A
Netherlands,2025-08-16,Heracles,NEC Nijmegen,1.0,4.0,1.0,1.0,A
Netherlands,2025-08-16,Groningen,Heerenveen,2.0,1.0,1.0,1.0,H
Netherlands,2025-08-17,GO Ahead Eagles,Ajax,2.0,2.0,2.0,2.0,D
Netherlands,2025-08-17,Twente,PSV Eindhoven,0.0,2.0,0.0,1.0,A
Netherlands,2025-08-17,Sparta Rotterdam,Utrecht,2.0,1.0,1.0,0.0,H
Netherlands,2025-08-17,FC Volendam,AZ Alkmaar,2.0,2.0,1.0,1.0,D
Netherlands,2025-08-17,NAC Breda,Fortuna Sittard,2.0,1.0,1.0,0.0,H
Netherlands,2025-08-23,GO Ahead Eagles,Sparta Rotterdam,0.0,3.0,0.0,1.0,A
Netherlands,2025-08-23,PSV Eindhoven,Groningen,4.0,2.0,1.0,1.0,H
Netherlands,2025-08-23,Telstar,FC Volendam,2.0,2.0,2.0,0.0,D
Netherlands,2025-08-24,Heerenveen,Twente,1.0,2.0,0.0,1.0,A
Netherlands,2025-08-24,Utrecht,Excelsior,4.0,1.0,2.0,0.0,H
Netherlands,2025-08-24,NEC Nijmegen,NAC Breda,3.0,0.0,1.0,0.0,H
Netherlands,2025-08-24,Ajax,Heracles,2.0,0.0,1.0,0.0,H
Netherlands,2025-08-29,Groningen,Heracles,4.0,0.0,3.0,0.0,H
Netherlands,2025-08-30,FC Volendam,Ajax,1.0,1.0,1.0,0.0,D
Netherlands,2025-08-30,Heerenveen,GO Ahead Eagles,2.0,2.0,1.0,1.0,D
Netherlands,2025-08-30,PSV Eindhoven,Telstar,0.0,2.0,0.0,1.0,A
Netherlands,2025-08-30,Excelsior,Twente,1.0,0.0,0.0,0.0,H
Netherlands,2025-08-31,Fortuna Sittard,NEC Nijmegen,3.0,2.0,2.0,1.0,H
Netherlands,2025-08-31,PEC Zwolle,Utrecht,0.0,2.0,0.0,2.0,A
Netherlands,2025-08-31,Sparta Rotterdam,Feyenoord,0.0,4.0,0.0,1.0,A
Netherlands,2025-08-31,NAC Breda,AZ Alkmaar,0.0,1.0,0.0,0.0,A
Netherlands,2025-09-13,Ajax,PEC Zwolle,3.0,1.0,2.0,0.0,H
Netherlands,2025-09-13,NEC Nijmegen,PSV Eindhoven,3.0,5.0,1.0,3.0,A
Netherlands,2025-09-13,GO Ahead Eagles,FC Volendam,3.0,0.0,3.0,0.0,H
Netherlands,2025-09-13,Feyenoord,Heerenveen,1.0,0.0,1.0,0.0,H
Netherlands,2025-09-13,Twente,NAC Breda,2.0,2.0,0.0,1.0,D
Netherlands,2025-09-14,Excelsior,Sparta Rotterdam,0.0,1.0,0.0,0.0,A
Netherlands,2025-09-14,Heracles,AZ Alkmaar,1.0,2.0,1.0,1.0,A
Netherlands,2025-09-14,Utrecht,Groningen,0.0,1.0,0.0,0.0,A
Netherlands,2025-09-14,Telstar,Fortuna Sittard,1.0,3.0,1.0,1.0,A
