country,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Belgium,2025-07-25,Antwerp,Union St. Gilloise,1.0,1.0,1.0,0.0,D
Belgium,2025-07-26,Dender,Cercle Brugge,0.0,0.0,0.0,0.0,D
Belgium,2025-07-26,Zulte Waregem,KV Mechelen,1.0,1.0,0.0,1.0,D
Belgium,2025-07-26,RAAL La Louvière,Standard Liege,0.0,2.0,0.0,2.0,A
Belgium,2025-07-27,Anderlecht,KVC Westerlo,5.0,2.0,2.0,0.0,H
Belgium,2025-07-27,OH Leuven,Charleroi,2.0,2.0,1.0,0.0,D
Belgium,2025-07-27,Club Brugge KV,Genk,2.0,1.0,0.0,1.0,H
Belgium,2025-07-27,St. Truiden,Gent,3.0,1.0,0.0,0.0,H
Belgium,2025-08-01,KV Mechelen,Club Brugge KV,2.0,1.0,1.0,0.0,H
Belgium,2025-08-02,KVC Westerlo,Zulte Waregem,3.0,1.0,2.0,1.0,H
Belgium,2025-08-02,Standard Liege,Dender,1.0,1.0,0.0,0.0,D
Belgium,2025-08-02,Gent,RAAL La Louvière,1.0,0.0,0.0,0.0,H
Belgium,2025-08-03,Genk,Antwerp,1.0,1.0,1.0,1.0,D
Belgium,2025-08-03,Cercle Brugge,Anderlecht,0.0,2.0,0.0,1.0,A
Belgium,2025-08-03,Union St. Gilloise,OH Leuven,5.0,0.0,2.0,0.0,H
Belgium,2025-08-03,Charleroi,St. Truiden,1.0,1.0,1.0,1.0,D
Belgium,2025-08-08,St. Truiden,Dender,2.0,0.0,1.0,0.0,H
Belgium,2025-08-09,Club Brugge KV,Cercle Brugge,2.0,0.0,0.0,0.0,H
Belgium,2025-08-09,KVC Westerlo,KV Mechelen,0.0,1.0,0.0,0.0,A
Belgium,2025-08-09,Gent,Union St. Gilloise,2.0,3.0,0.0,1.0,A
Belgium,2025-08-10,RAAL La Louvière,Charleroi,1.0,0.0,1.0,0.0,H
Belgium,2025-08-10,Anderlecht,Zulte Waregem,2.0,3.0,0.0,1.0,A
Belgium,2025-08-10,Standard Liege,Genk,2.0,1.0,1.0,0.0,H
Belgium,2025-08-10,Antwerp,OH Leuven,3.0,1.0,1.0,0.0,H
Belgium,2025-08-15,OH Leuven,Genk,1.0,2.0,1.0,2.0,A
Belgium,2025-08-16,Zulte Waregem,Club Brugge KV,0.0,1.0,0.0,0.0,A
Belgium,2025-08-16,KV Mechelen,Gent,1.0,1.0,1.0,0.0,D
Belgium,2025-08-16,Union St. Gilloise,Standard Liege,3.0,0.0,1.0,0.0,H
Belgium,2025-08-17,Dender,Anderlecht,0.0,2.0,0.0,0.0,A
Belgium,2025-08-17,St. Truiden,RAAL La Louvière,2.0,1.0,1.0,0.0,H
Belgium,2025-08-17,Charleroi,Antwerp,1.0,1.0,1.0,1.0,D
Belgium,2025-08-17,Cercle Brugge,KVC Westerlo,4.0,1.0,3.0,0.0,H
Belgium,2025-08-23,Standard Liege,Cercle Brugge,0.0,3.0,0.0,3.0,A
Belgium,2025-08-23,Zulte Waregem,St. Truiden,0.0,2.0,0.0,0.0,A
Belgium,2025-08-24,Antwerp,KV Mechelen,2.0,1.0,1.0,1.0,H
Belgium,2025-08-24,RAAL La Louvière,Union St. Gilloise,0.0,0.0,0.0,0.0,D
Belgium,2025-08-24,Dender,OH Leuven,0.0,1.0,0.0,0.0,A
Belgium,2025-08-29,Cercle Brugge,St. Truiden,1.0,1.0,1.0,1.0,D
Belgium,2025-08-30,KV Mechelen,RAAL La Louvière,3.0,2.0,1.0,0.0,H
Belgium,2025-08-30,KVC Westerlo,Antwerp,2.0,0.0,1.0,0.0,H
Belgium,2025-08-30,Charleroi,Dender,3.0,1.0,1.0,0.0,H
Belgium,2025-08-31,Gent,Club Brugge KV,1.0,1.0,0.0,0.0,D
Belgium,2025-08-31,OH Leuven,Standard Liege,1.0,0.0,0.0,0.0,H
Belgium,2025-08-31,Union St. Gilloise,Anderlecht,2.0,0.0,1.0,0.0,H
Belgium,2025-08-31,Genk,Zulte Waregem,3.0,2.0,2.0,2.0,H
Belgium,2025-09-12,Standard Liege,KV Mechelen,1.0,1.0,0.0,0.0,D
Belgium,2025-09-13,Zulte Waregem,OH Leuven,2.0,0.0,2.0,0.0,H
Belgium,2025-09-13,Dender,Union St. Gilloise,0.0,1.0,0.0,0.0,A
Belgium,2025-09-13,RAAL La Louvière,Club Brugge KV,1.0,0.0,1.0,0.0,H
Belgium,2025-09-14,Antwerp,Gent,1.0,2.0,1.0,1.0,A
Belgium,2025-09-14,Cercle Brugge,Charleroi,2.0,3.0,0.0,2.0,A
Belgium,2025-09-14,Anderlecht,Genk,1.0,1.0,0.0,0.0,D
Belgium,2025-09-14,St. Truiden,KVC Westerlo,0.0,3.0,0.0,1.0,A
