,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
0,2024-08-23,Borussia Mönchengladbach,Bayer Leverkusen,2,3,0,2,A,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
1,2024-08-24,SC Freiburg,VfB Stuttgart,3,1,1,2,H,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
2,2024-08-24,FSV Mainz 05,Union Berlin,1,1,0,1,D,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
3,2024-08-24,1899 Hoffenheim,Holstein Kiel,3,2,2,1,H,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
4,2024-08-24,FC Augsburg,Werder Bremen,2,2,2,0,D,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
5,2024-08-24,RB Leipzig,VfL Bochum,1,0,0,1,H,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
6,2024-08-24,Borussia Dortmund,Eintracht Frankfurt,2,0,0,2,H,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
7,2024-08-25,VfL Wolfsburg,Bayern München,2,3,0,2,A,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
8,2024-08-25,FC St. Pauli,1. FC Heidenheim,0,2,0,0,A,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
9,2024-08-30,Union Berlin,FC St. Pauli,1,0,1,0,H,1,0,1,2,1,0,0,0,1,0,M,M,M,M,M,M,M,M,M,M,2
10,2024-08-31,Werder Bremen,Borussia Dortmund,0,0,0,0,D,2,2,2,0,0,0,2,2,1,3,D,W,M,M,M,M,M,M,M,M,2
11,2024-08-31,Eintracht Frankfurt,1899 Hoffenheim,3,1,2,1,H,0,3,2,2,2,2,0,1,0,3,L,W,M,M,M,M,M,M,M,M,2
12,2024-08-31,VfB Stuttgart,FSV Mainz 05,3,3,2,1,D,1,1,3,1,2,0,1,1,0,1,L,D,M,M,M,M,M,M,M,M,2
13,2024-08-31,VfL Bochum,Borussia Mönchengladbach,0,2,0,0,A,0,2,1,3,1,0,0,2,0,0,L,L,M,M,M,M,M,M,M,M,2
14,2024-08-31,Holstein Kiel,VfL Wolfsburg,0,2,0,0,A,2,2,3,3,1,0,2,2,0,0,L,L,M,M,M,M,M,M,M,M,2
15,2024-08-31,Bayer Leverkusen,RB Leipzig,2,3,2,0,A,3,1,2,0,2,0,0,1,3,3,W,W,M,M,M,M,M,M,M,M,2
16,2024-09-01,1. FC Heidenheim,FC Augsburg,4,0,2,2,H,2,2,0,2,0,2,0,0,3,1,W,D,M,M,M,M,M,M,M,M,2
17,2024-09-01,Bayern München,SC Freiburg,2,0,1,1,H,3,3,2,1,2,1,0,2,3,3,W,W,M,M,M,M,M,M,M,M,2
18,2024-09-13,Borussia Dortmund,1. FC Heidenheim,4,2,3,1,H,2,6,0,0,0,2,2,2,4,6,D,W,M,M,M,M,M,M,M,M,3
19,2024-09-14,SC Freiburg,VfL Bochum,2,1,0,2,H,3,0,3,3,2,1,3,0,3,0,L,L,M,M,M,M,M,M,M,M,3
20,2024-09-14,VfL Wolfsburg,Eintracht Frankfurt,1,2,0,1,A,4,3,3,3,0,4,2,1,3,3,W,W,L,L,M,M,M,M,M,M,3
21,2024-09-14,Borussia Mönchengladbach,VfB Stuttgart,1,3,1,0,A,4,4,3,6,0,4,2,2,3,1,W,D,L,L,M,M,M,M,M,M,3
22,2024-09-14,1899 Hoffenheim,Bayer Leverkusen,1,4,1,0,A,4,5,5,5,3,4,3,0,3,3,L,L,W,W,M,M,M,M,M,M,3
23,2024-09-14,RB Leipzig,Union Berlin,0,0,0,0,D,4,2,2,1,0,2,3,0,6,4,W,W,W,D,M,M,M,M,M,M,3
24,2024-09-14,Holstein Kiel,Bayern München,1,6,0,1,A,2,5,5,2,1,3,2,1,0,6,L,W,L,W,M,M,M,M,M,M,3
25,2024-09-15,FC Augsburg,FC St. Pauli,3,1,0,3,H,2,0,6,3,4,0,2,1,1,0,L,L,D,L,M,M,M,M,M,M,3
26,2024-09-15,FSV Mainz 05,Werder Bremen,1,2,1,0,A,4,2,4,2,1,0,3,2,2,2,D,D,D,D,M,M,M,M,M,M,3
27,2024-09-20,FC Augsburg,FSV Mainz 05,2,3,1,1,A,5,5,7,6,4,2,5,3,4,2,W,L,L,D,M,M,M,M,M,M,4
28,2024-09-21,Werder Bremen,Bayern München,0,5,0,0,A,4,11,3,3,0,4,3,1,5,9,W,W,D,W,M,M,M,M,M,M,4
29,2024-09-21,VfL Bochum,Holstein Kiel,2,2,2,0,D,1,3,5,11,3,1,0,3,0,0,L,L,L,L,M,M,M,M,M,M,4
30,2024-09-21,1. FC Heidenheim,SC Freiburg,0,3,0,0,A,8,5,4,4,3,2,5,5,6,6,L,W,W,L,W,W,M,M,M,M,4
31,2024-09-21,Union Berlin,1899 Hoffenheim,2,1,2,0,H,2,5,1,9,2,4,0,3,5,3,D,L,W,L,D,W,M,M,M,M,4
32,2024-09-21,Eintracht Frankfurt,Borussia Mönchengladbach,2,0,1,1,H,5,5,4,6,5,1,1,2,6,3,W,L,W,W,L,L,M,M,M,M,4
33,2024-09-22,Bayer Leverkusen,VfL Wolfsburg,4,3,2,2,H,9,5,6,5,4,0,1,3,6,3,W,L,L,W,W,L,M,M,M,M,4
34,2024-09-22,VfB Stuttgart,Borussia Dortmund,5,1,2,3,H,7,6,7,2,4,3,3,3,4,7,W,W,D,D,L,W,M,M,M,M,4
35,2024-09-22,FC St. Pauli,RB Leipzig,0,0,0,0,D,1,4,6,2,3,0,1,3,0,7,L,D,L,W,L,W,M,M,M,M,4
36,2024-09-27,Borussia Dortmund,VfL Bochum,4,2,1,3,H,7,3,7,7,6,5,5,0,7,1,L,D,W,L,D,L,M,M,M,M,5
37,2024-09-28,SC Freiburg,FC St. Pauli,0,3,0,0,A,8,1,4,6,2,3,5,1,9,1,W,D,W,L,L,L,M,M,M,M,5
38,2024-09-28,VfL Wolfsburg,VfB Stuttgart,2,2,1,1,D,8,12,9,8,2,6,5,6,3,7,L,W,L,W,W,D,M,M,M,M,5
