,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D
0,2024-08-23,M'gladbach,Leverkusen,2,3,A,0.0,2.0,A,5.25,1.55,4.5
1,2024-08-24,Augsburg,Werder Bremen,2,2,D,2.0,1.0,H,2.2,3.1,3.6
2,2024-08-24,Freiburg,Stuttgart,3,1,H,1.0,1.0,D,3.5,2.05,3.6
3,2024-08-24,Hoffenheim,Holstein Kiel,3,2,H,2.0,0.0,H,1.65,4.5,4.5
4,2024-08-24,Mainz,Union Berlin,1,1,D,0.0,0.0,D,2.0,3.9,3.4
5,2024-08-24,RB Leipzig,Bochum,1,0,H,0.0,0.0,D,1.25,9.0,7.0
6,2024-08-24,Dortmund,Ein Frankfurt,2,0,H,0.0,0.0,D,1.7,4.5,4.1
7,2024-08-25,Wolfsburg,Bayern Munich,2,3,A,0.0,1.0,A,6.25,1.45,4.75
8,2024-08-25,St Pauli,Heidenheim,0,2,A,0.0,0.0,D,2.1,3.4,3.5
9,2024-08-30,Union Berlin,St Pauli,1,0,H,1.0,0.0,H,1.91,4.1,3.5
10,2024-08-31,Bochum,M'gladbach,0,2,A,0.0,0.0,D,2.6,2.6,3.6
11,2024-08-31,Ein Frankfurt,Hoffenheim,3,1,H,2.0,0.0,H,1.8,3.9,4.2
12,2024-08-31,Holstein Kiel,Wolfsburg,0,2,A,0.0,2.0,A,3.2,2.15,3.7
13,2024-08-31,Stuttgart,Mainz,3,3,D,2.0,1.0,H,1.62,5.25,4.33
14,2024-08-31,Werder Bremen,Dortmund,0,0,D,0.0,0.0,D,4.1,1.8,4.0
15,2024-08-31,Leverkusen,RB Leipzig,2,3,A,2.0,1.0,H,1.75,4.1,4.2
16,2024-09-01,Heidenheim,Augsburg,4,0,H,2.0,0.0,H,2.38,2.9,3.5
17,2024-09-01,Bayern Munich,Freiburg,2,0,H,1.0,0.0,H,1.2,11.0,8.0
18,2024-09-13,Dortmund,Heidenheim,4,2,H,3.0,1.0,H,1.4,6.5,5.5
19,2024-09-14,Freiburg,Bochum,2,1,H,0.0,1.0,A,1.7,5.0,3.9
20,2024-09-14,Hoffenheim,Leverkusen,1,4,A,1.0,2.0,A,5.75,1.48,4.5
21,2024-09-14,M'gladbach,Stuttgart,1,3,A,1.0,1.0,D,2.75,2.3,4.0
22,2024-09-14,RB Leipzig,Union Berlin,0,0,D,0.0,0.0,D,1.48,6.5,4.5
