,league,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
940,bresil,2025-03-29,Sao Paulo,Sport Recife,0,0,0,0,D
941,bresil,2025-03-29,Gremio,Atletico-MG,2,1,2,0,H
942,bresil,2025-03-29,Cruzeiro,Mirassol,2,1,2,0,H
943,bresil,2025-03-29,Juventude,Vitoria,2,0,1,1,H
944,bresil,2025-03-29,Fortaleza EC,Fluminense,2,0,2,0,H
945,bresil,2025-03-30,Flamengo,Internacional,1,1,0,1,D
946,bresil,2025-03-30,Palmeiras,Botafogo,0,0,0,0,D
947,bresil,2025-03-30,Vasco DA Gama,Santos,2,1,0,2,H
948,bresil,2025-03-30,Bahia,Corinthians,1,1,1,0,D
949,bresil,2025-03-31,RB Bragantino,Ceara,2,2,1,1,D
950,bresil,2025-04-05,Ceara,Gremio,2,0,1,1,H
951,bresil,2025-04-05,Corinthians,Vasco DA Gama,3,0,2,1,H
952,bresil,2025-04-06,Botafogo,Juventude,2,0,1,1,H
953,bresil,2025-04-06,Fluminense,RB Bragantino,2,1,1,1,H
954,bresil,2025-04-06,Atletico-MG,Sao Paulo,0,0,0,0,D
955,bresil,2025-04-06,Internacional,Cruzeiro,3,0,2,1,H
956,bresil,2025-04-06,Sport Recife,Palmeiras,1,2,1,0,A
957,bresil,2025-04-06,Vitoria,Flamengo,1,2,0,1,A
958,bresil,2025-04-06,Mirassol,Fortaleza EC,1,1,0,1,D
959,bresil,2025-04-06,Santos,Bahia,2,2,0,2,D
960,bresil,2025-04-12,Juventude,Ceara,2,1,1,1,H
961,bresil,2025-04-12,RB Bragantino,Botafogo,1,0,1,0,H
962,bresil,2025-04-12,Palmeiras,Corinthians,2,0,2,0,H
963,bresil,2025-04-13,Vasco DA Gama,Sport Recife,3,1,2,1,H
964,bresil,2025-04-13,Bahia,Mirassol,1,1,1,0,D
965,bresil,2025-04-13,Sao Paulo,Cruzeiro,1,1,0,1,D
966,bresil,2025-04-13,Gremio,Flamengo,0,2,0,0,A
967,bresil,2025-04-13,Fluminense,Santos,1,0,0,1,H
968,bresil,2025-04-13,Fortaleza EC,Internacional,0,0,0,0,D
969,bresil,2025-04-13,Atletico-MG,Vitoria,2,2,0,2,D
970,bresil,2025-04-16,Ceara,Vasco DA Gama,2,1,1,1,H
971,bresil,2025-04-16,Botafogo,Sao Paulo,2,2,1,1,D
972,bresil,2025-04-16,Sport Recife,RB Bragantino,0,1,0,0,A
973,bresil,2025-04-16,Mirassol,Gremio,4,1,2,2,H
974,bresil,2025-04-16,Internacional,Palmeiras,0,1,0,0,A
975,bresil,2025-04-16,Corinthians,Fluminense,0,2,0,0,A
976,bresil,2025-04-17,Flamengo,Juventude,6,0,3,3,H
977,bresil,2025-04-17,Santos,Atletico-MG,2,0,2,0,H
978,bresil,2025-04-17,Vitoria,Fortaleza EC,2,1,1,1,H
979,bresil,2025-04-18,Cruzeiro,Bahia,3,0,1,2,H
980,bresil,2025-04-19,Corinthians,Sport Recife,2,1,0,2,H
981,bresil,2025-04-19,Vasco DA Gama,Flamengo,0,0,0,0,D
982,bresil,2025-04-20,Gremio,Internacional,1,1,1,0,D
983,bresil,2025-04-20,Juventude,Mirassol,2,2,2,0,D
984,bresil,2025-04-20,Sao Paulo,Santos,2,1,2,0,H
985,bresil,2025-04-20,Atletico-MG,Botafogo,1,0,0,1,H
986,bresil,2025-04-20,Fluminense,Vitoria,1,1,1,0,D
987,bresil,2025-04-20,Fortaleza EC,Palmeiras,1,2,0,1,A
988,bresil,2025-04-20,RB Bragantino,Cruzeiro,1,0,1,0,H
989,bresil,2025-04-21,Bahia,Ceara,1,0,0,1,H
990,bresil,2025-04-26,Internacional,Juventude,3,1,2,1,H
991,bresil,2025-04-26,Ceara,Sao Paulo,1,1,1,0,D
992,bresil,2025-04-26,Mirassol,Atletico-MG,2,2,1,1,D
993,bresil,2025-04-26,Sport Recife,Fortaleza EC,0,0,0,0,D
994,bresil,2025-04-27,Botafogo,Fluminense,2,0,1,1,H
995,bresil,2025-04-27,Flamengo,Corinthians,4,0,3,1,H
996,bresil,2025-04-27,Palmeiras,Bahia,0,1,0,0,A
997,bresil,2025-04-27,Cruzeiro,Vasco DA Gama,1,0,0,1,H
998,bresil,2025-04-27,Vitoria,Gremio,1,1,0,1,D
999,bresil,2025-04-27,Santos,RB Bragantino,1,2,0,1,A
1000,bresil,2025-05-03,Sao Paulo,Fortaleza EC,0,0,0,0,D
1001,bresil,2025-05-03,Fluminense,Sport Recife,2,1,0,2,H
1002,bresil,2025-05-03,Ceara,Vitoria,1,0,0,1,H
1003,bresil,2025-05-03,Corinthians,Internacional,4,2,1,3,H
1004,bresil,2025-05-04,Bahia,Botafogo,1,0,1,0,H
1005,bresil,2025-05-04,Gremio,Santos,1,0,0,1,H
1006,bresil,2025-05-04,Vasco DA Gama,Palmeiras,0,1,0,0,A
1007,bresil,2025-05-04,Cruzeiro,Flamengo,2,1,1,1,H
1008,bresil,2025-05-05,RB Bragantino,Mirassol,1,0,0,1,H
1009,bresil,2025-05-05,Juventude,Atletico-MG,0,1,0,0,A
1010,bresil,2025-05-10,Fortaleza EC,Juventude,5,0,1,4,H
1011,bresil,2025-05-10,Gremio,RB Bragantino,1,1,0,1,D
1012,bresil,2025-05-10,Vitoria,Vasco DA Gama,2,1,0,2,H
1013,bresil,2025-05-10,Mirassol,Corinthians,2,1,0,2,H
1014,bresil,2025-05-11,Flamengo,Bahia,1,0,1,0,H
1015,bresil,2025-05-11,Sport Recife,Cruzeiro,0,4,0,0,A
1016,bresil,2025-05-11,Palmeiras,Sao Paulo,1,0,0,1,H
1017,bresil,2025-05-11,Atletico-MG,Fluminense,3,2,0,3,H
1018,bresil,2025-05-11,Botafogo,Internacional,4,0,2,2,H
1019,bresil,2025-05-12,Santos,Ceara,0,0,0,0,D
1020,bresil,2025-05-17,Ceara,Sport Recife,2,0,1,1,H
1021,bresil,2025-05-17,Vasco DA Gama,Fortaleza EC,3,0,1,2,H
1022,bresil,2025-05-18,Sao Paulo,Gremio,2,1,0,2,H
1023,bresil,2025-05-18,Bahia,Vitoria,2,1,1,1,H
1024,bresil,2025-05-18,Corinthians,Santos,1,0,0,1,H
1025,bresil,2025-05-18,Juventude,Fluminense,1,1,0,1,D
1026,bresil,2025-05-18,Flamengo,Botafogo,0,0,0,0,D
1027,bresil,2025-05-18,RB Bragantino,Palmeiras,1,2,1,0,A
1028,bresil,2025-05-18,Internacional,Mirassol,1,1,0,1,D
1029,bresil,2025-05-18,Cruzeiro,Atletico-MG,0,0,0,0,D
1030,bresil,2025-05-24,Fluminense,Vasco DA Gama,2,1,1,1,H
1031,bresil,2025-05-24,Sao Paulo,Mirassol,0,2,0,0,A
1032,bresil,2025-05-25,Atletico-MG,Corinthians,0,0,0,0,D
1033,bresil,2025-05-25,Gremio,Bahia,1,0,0,1,H
1034,bresil,2025-05-25,Palmeiras,Flamengo,0,2,0,0,A
1035,bresil,2025-05-25,Sport Recife,Internacional,1,1,1,0,D
1036,bresil,2025-05-25,Vitoria,Santos,0,1,0,0,A
1037,bresil,2025-05-25,Fortaleza EC,Cruzeiro,0,2,0,0,A
1038,bresil,2025-05-26,RB Bragantino,Juventude,1,0,1,0,H
1039,bresil,2025-05-31,Bahia,Sao Paulo,2,1,0,2,H
1040,bresil,2025-06-01,Vasco DA Gama,RB Bragantino,0,2,0,0,A
1041,bresil,2025-06-01,Mirassol,Sport Recife,1,0,1,0,H
1042,bresil,2025-06-01,Santos,Botafogo,0,1,0,0,A
1043,bresil,2025-06-01,Juventude,Gremio,0,2,0,0,A
1044,bresil,2025-06-01,Flamengo,Fortaleza EC,5,0,1,4,H
1045,bresil,2025-06-01,Ceara,Atletico-MG,0,1,0,0,A
1046,bresil,2025-06-01,Corinthians,Vitoria,0,0,0,0,D
1047,bresil,2025-06-01,Cruzeiro,Palmeiras,2,1,2,0,H
