,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
0,can_qualification,2025,2024-03-19,Djibouti,Liberia,0,2,0,0,A
1,can_qualification,2025,2024-03-20,Somalia,Eswatini,0,3,0,0,A
2,can_qualification,2025,2024-03-22,Chad,Mauritius,1,0,0,1,H
3,can_qualification,2025,2024-03-22,Sao Tome and Principe,South Sudan,1,1,0,1,D
4,can_qualification,2025,2024-03-26,Eswatini,Somalia,2,2,0,2,D
5,can_qualification,2025,2024-03-26,Mauritius,Chad,1,2,1,0,A
6,can_qualification,2025,2024-03-26,Liberia,Djibouti,0,0,0,0,D
7,can_qualification,2025,2024-03-26,South Sudan,Sao Tome and Principe,0,0,0,0,D
8,can_qualification,2025,2024-09-04,Sudan,Niger,1,0,0,1,H
9,can_qualification,2025,2024-09-04,Comoros,Gambia,1,1,1,0,D
10,can_qualification,2025,2024-09-04,Tanzania,Ethiopia,0,0,0,0,D
11,can_qualification,2025,2024-09-04,Libya,Rwanda,1,1,1,0,D
12,can_qualification,2025,2024-09-05,Malawi,Burundi,2,3,1,1,A
13,can_qualification,2025,2024-09-05,Central African Republic,Lesotho,3,1,2,1,H
14,can_qualification,2025,2024-09-05,Ghana,Angola,0,1,0,0,A
15,can_qualification,2025,2024-09-05,Guinea-Bissau,Eswatini,1,0,1,0,H
16,can_qualification,2025,2024-09-05,Congo,South Sudan,1,0,1,0,H
17,can_qualification,2025,2024-09-05,Tunisia,Madagascar,1,0,0,1,H
18,can_qualification,2025,2024-09-05,Algeria,Equatorial Guinea,2,0,0,2,H
19,can_qualification,2025,2024-09-06,Kenya,Zimbabwe,0,0,0,0,D
20,can_qualification,2025,2024-09-06,Sierra Leone,Chad,0,0,0,0,D
21,can_qualification,2025,2024-09-06,Congo DR,Guinea,1,0,1,0,H
22,can_qualification,2025,2024-09-06,South Africa,Uganda,2,2,1,1,D
23,can_qualification,2025,2024-09-06,Togo,Liberia,1,1,0,1,D
24,can_qualification,2025,2024-09-06,Morocco,Gabon,4,1,2,2,H
25,can_qualification,2025,2024-09-06,Senegal,Burkina Faso,1,1,1,0,D
26,can_qualification,2025,2024-09-06,Egypt,Cape Verde Islands,3,0,2,1,H
27,can_qualification,2025,2024-09-06,Mali,Mozambique,1,1,0,1,D
28,can_qualification,2025,2024-09-06,Ivory Coast,Zambia,2,0,0,2,H
29,can_qualification,2025,2024-09-07,Nigeria,Benin,3,0,1,2,H
30,can_qualification,2025,2024-09-07,Mauritania,Botswana,1,0,0,1,H
31,can_qualification,2025,2024-09-07,Cameroon,Namibia,1,0,0,1,H
32,can_qualification,2025,2024-09-08,Gambia,Tunisia,1,2,1,0,A
33,can_qualification,2025,2024-09-09,Burundi,Senegal,0,1,0,0,A
34,can_qualification,2025,2024-09-09,Niger,Ghana,1,1,0,1,D
