country,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Denmark,2025-07-18,Viborg,FC Copenhagen,2.0,3.0,1.0,1.0,A
Denmark,2025-07-20,Vejle,Randers FC,1.0,1.0,0.0,0.0,D
Denmark,2025-07-20,FC Fredericia,FC Nordsjaelland,2.0,3.0,1.0,3.0,A
Denmark,2025-07-20,Sonderjyske,Aarhus,1.0,1.0,0.0,1.0,D
Denmark,2025-07-20,FC Midtjylland,Odense,3.0,3.0,2.0,2.0,D
Denmark,2025-07-20,Brondby,Silkeborg,3.0,0.0,1.0,0.0,H
Denmark,2025-07-25,Aarhus,Randers FC,1.0,2.0,1.0,0.0,A
Denmark,2025-07-26,FC Copenhagen,Vejle,2.0,0.0,2.0,0.0,H
Denmark,2025-07-27,Odense,Viborg,3.0,1.0,1.0,0.0,H
Denmark,2025-07-27,Silkeborg,FC Fredericia,0.0,2.0,0.0,2.0,A
Denmark,2025-07-27,FC Nordsjaelland,Brondby,0.0,1.0,0.0,1.0,A
Denmark,2025-07-28,FC Midtjylland,Sonderjyske,6.0,2.0,3.0,1.0,H
Denmark,2025-08-01,FC Fredericia,FC Copenhagen,0.0,2.0,0.0,1.0,A
Denmark,2025-08-01,Vejle,Odense,4.0,0.0,2.0,0.0,H
Denmark,2025-08-03,Randers FC,Silkeborg,1.0,0.0,1.0,0.0,H
Denmark,2025-08-03,Sonderjyske,FC Nordsjaelland,3.0,2.0,1.0,1.0,H
Denmark,2025-08-03,Aarhus,FC Midtjylland,0.0,0.0,0.0,0.0,D
Denmark,2025-08-03,Brondby,Viborg,0.0,2.0,0.0,1.0,A
Denmark,2025-08-08,FC Copenhagen,Aarhus,2.0,3.0,0.0,1.0,A
Denmark,2025-08-08,Viborg,Sonderjyske,1.0,0.0,1.0,0.0,H
Denmark,2025-08-10,FC Midtjylland,FC Fredericia,3.0,3.0,2.0,1.0,D
Denmark,2025-08-10,Silkeborg,FC Nordsjaelland,4.0,2.0,2.0,1.0,H
Denmark,2025-08-10,Brondby,Vejle,2.0,1.0,2.0,1.0,H
Denmark,2025-08-11,Odense,Randers FC,3.0,2.0,3.0,2.0,H
Denmark,2025-08-15,FC Nordsjaelland,FC Copenhagen,1.0,3.0,0.0,0.0,A
Denmark,2025-08-15,FC Fredericia,Sonderjyske,3.0,2.0,0.0,0.0,H
Denmark,2025-08-17,Vejle,FC Midtjylland,0.0,2.0,0.0,0.0,A
Denmark,2025-08-17,Viborg,Silkeborg,2.0,3.0,2.0,2.0,A
Denmark,2025-08-17,Randers FC,Brondby,0.0,2.0,0.0,2.0,A
Denmark,2025-08-18,Odense,Aarhus,1.0,5.0,1.0,2.0,A
Denmark,2025-08-23,FC Copenhagen,Odense,1.0,1.0,0.0,1.0,D
Denmark,2025-08-24,FC Fredericia,Randers FC,1.0,0.0,1.0,0.0,H
Denmark,2025-08-24,FC Midtjylland,Silkeborg,4.0,2.0,1.0,1.0,H
Denmark,2025-08-24,Sonderjyske,Brondby,2.0,0.0,0.0,0.0,H
Denmark,2025-08-24,Aarhus,Vejle,1.0,0.0,1.0,0.0,H
Denmark,2025-08-25,FC Nordsjaelland,Viborg,1.0,0.0,1.0,0.0,H
Denmark,2025-08-29,Vejle,Viborg,1.0,2.0,1.0,1.0,A
Denmark,2025-08-31,Aarhus,FC Fredericia,4.0,1.0,2.0,0.0,H
Denmark,2025-08-31,Silkeborg,Sonderjyske,0.0,2.0,0.0,0.0,A
Denmark,2025-08-31,Odense,FC Nordsjaelland,1.0,2.0,1.0,0.0,A
Denmark,2025-08-31,Randers FC,FC Copenhagen,1.0,5.0,0.0,4.0,A
Denmark,2025-08-31,Brondby,FC Midtjylland,1.0,3.0,0.0,0.0,A
Denmark,2025-09-12,Sonderjyske,Randers FC,0.0,1.0,0.0,0.0,A
Denmark,2025-09-13,Brondby,FC Copenhagen,2.0,1.0,1.0,0.0,H
Denmark,2025-09-14,Viborg,Aarhus,1.0,2.0,1.0,2.0,A
Denmark,2025-09-14,FC Nordsjaelland,FC Midtjylland,1.0,0.0,1.0,0.0,H
Denmark,2025-09-14,Silkeborg,Odense,2.0,1.0,1.0,1.0,H
Denmark,2025-09-15,FC Fredericia,Vejle,1.0,1.0,0.0,0.0,D
