,fixture_id,HomeTeam,AwayTeam,comp,odds_home,odds_draw,odds_away,match_Date
0,1379323,Liverpool,Chelsea,39,1.83,4.0,3.9,2026-05-09
1,1379322,Fulham,Bournemouth,39,2.75,3.6,2.4,2026-05-09
2,1379319,Brighton,Wolves,39,1.27,6.25,9.5,2026-05-09
3,1379326,Sunderland,Manchester United,39,3.9,3.75,1.85,2026-05-09
4,1379324,Manchester City,Brentford,39,1.36,5.75,7.0,2026-05-09
5,1379320,Burnley,Aston Villa,39,5.0,4.33,1.6,2026-05-10
6,1379321,Crystal Palace,Everton,39,2.7,3.3,2.62,2026-05-10
7,1379325,Nottingham Forest,Newcastle,39,2.6,3.6,2.6,2026-05-10
8,1379328,West Ham,Arsenal,39,5.5,4.2,1.57,2026-05-10
9,1379327,Tottenham,Leeds,39,1.83,4.1,3.75,2026-05-11
10,1379275,Manchester City,Crystal Palace,39,1.27,6.0,9.5,2026-05-13
11,1379336,Manchester United,Nottingham Forest,39,1.57,4.2,5.1,2026-05-17
12,1379330,Aston Villa,Liverpool,39,3.5,4.0,1.87,2026-05-17
13,1379338,Wolves,Fulham,39,3.5,3.8,1.91,2026-05-17
14,1379334,Everton,Sunderland,39,1.75,3.65,4.45,2026-05-17
15,1379332,Brentford,Crystal Palace,39,1.68,4.1,4.33,2026-05-17
16,1379335,Leeds,Brighton,39,2.98,3.5,2.24,2026-05-17
17,1379337,Newcastle,West Ham,39,1.97,3.7,3.45,2026-05-17
18,1379329,Arsenal,Burnley,39,1.1,8.6,23.0,2026-05-18
19,1379331,Bournemouth,Manchester City,39,,,,2026-05-19
20,1379333,Chelsea,Tottenham,39,,,,2026-05-19
21,1387989,Lens,Nantes,61,1.45,4.75,6.5,2026-05-08
22,1387986,Angers,Strasbourg,61,2.9,3.4,2.4,2026-05-10
23,1387992,Paris Saint Germain,Stade Brestois 29,61,1.17,7.0,13.0,2026-05-10
24,1387991,Monaco,Lille,61,2.3,3.8,2.75,2026-05-10
25,1387993,Rennes,Paris FC,61,1.5,4.75,5.75,2026-05-10
