,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5
0,2024-08-16,Le Havre,Paris Saint Germain,1,4,0,1,A,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M
1,2024-08-17,Stade Brestois 29,Marseille,1,5,1,0,A,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M
2,2024-08-17,Reims,Lille,0,2,0,0,A,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M
3,2024-08-17,Monaco,Saint Etienne,1,0,1,0,H,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M
4,2024-08-18,Auxerre,Nice,2,1,1,1,H,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M
5,2024-08-18,Angers,Lens,0,1,0,0,A,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M
6,2024-08-18,Montpellier,Strasbourg,1,1,0,1,D,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M
7,2024-08-18,Toulouse,Nantes,0,0,0,0,D,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M
8,2024-08-18,Rennes,Lyon,3,0,2,1,H,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M
9,2024-08-23,Paris Saint Germain,Montpellier,6,0,2,4,H,4,1,1,1,1,0,0,1,3,1,M,M,M,M,M,M,M,M,M,M
10,2024-08-24,Lyon,Monaco,0,2,0,0,A,0,1,3,0,1,1,2,0,0,3,L,W,M,M,M,M,M,M,M,M
11,2024-08-24,Lille,Angers,2,0,1,1,H,2,0,0,1,0,0,0,0,3,0,W,L,M,M,M,M,M,M,M,M
12,2024-08-24,Saint Etienne,Le Havre,0,2,0,0,A,0,1,1,4,0,0,1,1,0,0,L,L,M,M,M,M,M,M,M,M
13,2024-08-25,Lens,Stade Brestois 29,2,0,2,0,H,1,1,0,5,0,1,0,0,3,0,W,L,M,M,M,M,M,M,M,M
14,2024-08-25,Nantes,Auxerre,2,0,1,1,H,0,2,0,1,0,1,0,1,1,3,D,W,M,M,M,M,M,M,M,M
15,2024-08-25,Nice,Toulouse,1,1,0,1,D,1,0,2,0,1,0,1,0,0,1,L,D,M,M,M,M,M,M,M,M
16,2024-08-25,Strasbourg,Rennes,3,1,1,2,H,1,3,1,0,1,2,0,1,1,3,D,W,M,M,M,M,M,M,M,M
17,2024-08-25,Marseille,Reims,2,2,1,1,D,5,0,1,2,0,0,1,0,3,0,W,L,M,M,M,M,M,M,M,M
18,2024-08-30,Lyon,Strasbourg,4,3,1,3,H,0,4,5,2,1,2,2,2,0,4,L,W,M,M,M,M,M,M,M,M
19,2024-08-31,Stade Brestois 29,Saint Etienne,4,0,2,2,H,1,0,7,3,1,0,2,1,0,0,L,L,M,M,M,M,M,M,M,M
20,2024-08-31,Montpellier,Nantes,1,3,1,0,A,1,2,7,0,4,1,3,1,1,4,L,W,D,D,M,M,M,M,M,M
21,2024-08-31,Toulouse,Marseille,1,3,0,1,A,1,7,1,3,1,1,0,2,2,4,D,D,D,W,M,M,M,M,M,M
22,2024-09-01,Monaco,Lens,1,1,0,1,D,3,3,0,0,1,2,0,0,6,6,W,W,W,W,M,M,M,M,M,M
23,2024-09-01,Angers,Nice,1,4,0,1,A,0,2,3,3,1,1,1,2,0,1,L,D,L,L,M,M,M,M,M,M
24,2024-09-01,Reims,Rennes,2,1,1,1,H,2,4,4,3,1,4,1,2,1,3,D,L,L,W,M,M,M,M,M,M
25,2024-09-01,Le Havre,Auxerre,3,1,1,2,H,3,2,4,3,0,2,1,2,3,3,W,L,L,W,M,M,M,M,M,M
26,2024-09-01,Lille,Paris Saint Germain,1,3,0,1,A,4,10,0,1,1,3,1,4,6,6,W,W,W,W,M,M,M,M,M,M
27,2024-09-13,Saint Etienne,Lille,1,0,1,0,H,0,5,7,3,2,1,3,2,0,6,L,L,L,W,M,M,M,M,M,M
28,2024-09-14,Marseille,Nice,2,0,1,1,H,10,6,4,4,2,2,2,2,7,4,W,W,D,D,M,M,M,M,M,M
29,2024-09-14,Auxerre,Monaco,0,3,0,0,A,3,4,6,1,4,1,3,1,3,7,L,D,L,W,M,M,M,M,M,M
30,2024-09-14,Paris Saint Germain,Stade Brestois 29,3,1,1,2,H,13,5,2,7,4,3,4,4,9,3,W,W,W,L,W,L,M,M,M,M
31,2024-09-15,Rennes,Montpellier,3,0,2,1,H,5,2,5,10,5,5,3,3,3,1,L,L,L,L,W,D,M,M,M,M
32,2024-09-15,Nantes,Reims,1,2,1,0,A,5,4,1,5,1,2,2,2,7,4,W,W,W,D,D,L,M,M,M,M
33,2024-09-15,Strasbourg,Angers,1,1,1,0,D,7,1,6,7,5,1,3,2,4,0,L,L,W,L,D,L,M,M,M,M
34,2024-09-15,Toulouse,Le Havre,2,0,0,2,H,2,6,4,5,1,1,1,3,2,6,L,W,D,W,D,L,M,M,M,M
35,2024-09-15,Lens,Lyon,0,0,0,0,D,4,4,1,8,3,2,0,5,7,3,D,W,W,L,W,L,M,M,M,M
36,2024-09-20,Nice,Saint Etienne,8,0,6,2,H,6,1,6,7,3,3,3,3,4,3,L,W,W,L,D,L,M,M,M,M
37,2024-09-21,Lille,Strasbourg,3,3,2,1,D,5,8,4,7,1,6,3,3,6,5,L,D,L,L,W,W,M,M,M,M
38,2024-09-21,Rennes,Lens,1,1,1,0,D,8,4,5,1,7,3,4,0,6,8,W,D,L,D,L,W,M,M,M,M
39,2024-09-21,Reims,Paris Saint Germain,1,1,1,0,D,6,16,6,3,2,5,3,6,7,12,W,W,W,W,D,W,M,M,M,M
40,2024-09-22,Monaco,Le Havre,3,1,1,2,H,7,6,1,7,1,3,1,3,10,6,W,L,D,W,W,W,W,L,M,M
41,2024-09-22,Angers,Nantes,1,1,1,0,D,2,6,8,3,1,2,3,2,1,7,D,L,L,W,L,W,L,D,M,M
42,2024-09-22,Montpellier,Auxerre,3,2,0,3,H,2,3,13,9,6,4,5,3,1,3,L,L,L,L,L,L,D,W,M,M
43,2024-09-22,Stade Brestois 29,Toulouse,2,0,1,1,H,6,4,10,4,5,1,5,3,3,5,L,W,W,L,L,D,L,D,M,M
44,2024-09-22,Lyon,Marseille,2,3,0,2,A,4,12,8,4,2,3,5,3,4,10,D,W,W,W,L,D,L,W,M,M
45,2024-09-27,Auxerre,Stade Brestois 29,3,0,2,1,H,5,8,12,10,7,6,3,6,3,6,L,W,L,L,L,W,L,L,M,M
46,2024-09-27,Paris Saint Germain,Rennes,3,1,1,2,H,17,9,4,6,5,8,7,4,13,7,D,D,W,W,W,L,W,L,M,M
47,2024-09-28,Lens,Nice,0,0,0,0,D,5,14,2,6,3,9,1,5,9,7,D,W,D,L,D,W,W,D,M,M
48,2024-09-28,Le Havre,Lille,0,3,0,0,A,7,8,10,7,5,3,4,4,6,7,L,D,L,L,W,L,W,W,M,M
49,2024-09-28,Monaco,Montpellier,2,1,1,1,H,10,5,2,15,2,6,3,8,13,4,W,W,W,L,D,L,W,L,M,M
50,2024-09-29,Toulouse,Lyon,1,2,1,0,A,4,6,6,11,2,2,4,7,5,4,L,L,W,D,L,W,D,L,D,L
51,2024-09-29,Angers,Reims,1,3,0,1,A,3,7,9,7,2,3,3,3,2,8,D,D,D,W,L,W,L,D,L,L
52,2024-09-29,Nantes,Saint Etienne,2,2,1,1,D,7,1,4,15,2,5,3,9,8,3,D,L,L,W,W,L,W,L,D,L
53,2024-09-29,Strasbourg,Marseille,1,0,1,0,H,11,15,10,6,7,5,5,3,6,13,D,W,D,W,L,W,W,D,D,W
54,2024-10-04,Marseille,Angers,1,1,0,1,D,15,4,7,12,5,2,4,4,13,2,L,L,W,D,W,D,W,L,D,L
55,2024-10-05,Saint Etienne,Auxerre,3,1,1,2,H,3,8,17,12,6,9,10,4,4,6,D,W,L,L,W,L,L,L,L,L
56,2024-10-05,Lille,Toulouse,2,1,0,2,H,11,5,7,8,3,3,4,4,10,5,W,L,D,L,L,W,L,L,W,D
57,2024-10-05,Rennes,Monaco,1,2,1,0,A,10,12,9,3,10,3,5,4,7,16,L,W,D,W,W,W,L,D,L,W
58,2024-10-06,Lyon,Nantes,2,0,1,1,H,8,9,12,6,2,3,8,4,7,9,W,D,L,D,D,L,W,W,L,W
59,2024-10-06,Reims,Montpellier,4,2,2,2,H,10,6,8,17,4,7,3,9,11,4,W,L,D,W,W,L,W,L,D,L
60,2024-10-06,Strasbourg,Lens,2,2,1,1,D,12,5,10,2,8,3,5,1,9,10,W,D,D,D,D,D,L,D,W,W
