,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
0,2024-08-16,Le Havre,Paris Saint Germain,1,4,A,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
1,2024-08-17,Stade Brestois 29,Marseille,1,5,A,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
2,2024-08-17,Reims,Lille,0,2,A,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
3,2024-08-17,Monaco,Saint Etienne,1,0,H,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
4,2024-08-18,Auxerre,Nice,2,1,H,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
5,2024-08-18,Angers,Lens,0,1,A,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
6,2024-08-18,Montpellier,Strasbourg,1,1,D,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
7,2024-08-18,Toulouse,Nantes,0,0,D,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
8,2024-08-18,Rennes,Lyon,3,0,H,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
9,2024-08-23,Paris Saint Germain,Montpellier,6,0,H,4,1,1,1,3,1,M,M,M,M,M,M,M,M,M,M,2
10,2024-08-24,Lyon,Monaco,0,2,A,0,1,3,0,0,3,L,W,M,M,M,M,M,M,M,M,2
11,2024-08-24,Lille,Angers,2,0,H,2,0,0,1,3,0,W,L,M,M,M,M,M,M,M,M,2
12,2024-08-24,Saint Etienne,Le Havre,0,2,A,0,1,1,4,0,0,L,L,M,M,M,M,M,M,M,M,2
13,2024-08-25,Lens,Stade Brestois 29,2,0,H,1,1,0,5,3,0,W,L,M,M,M,M,M,M,M,M,2
14,2024-08-25,Nantes,Auxerre,2,0,H,0,2,0,1,1,3,D,W,M,M,M,M,M,M,M,M,2
15,2024-08-25,Nice,Toulouse,1,1,D,1,0,2,0,0,1,L,D,M,M,M,M,M,M,M,M,2
16,2024-08-25,Strasbourg,Rennes,3,1,H,1,3,1,0,1,3,D,W,M,M,M,M,M,M,M,M,2
17,2024-08-25,Marseille,Reims,2,2,D,5,0,1,2,3,0,W,L,M,M,M,M,M,M,M,M,2
18,2024-08-30,Lyon,Strasbourg,4,3,H,0,4,5,2,0,4,L,W,M,M,M,M,M,M,M,M,3
19,2024-08-31,Stade Brestois 29,Saint Etienne,4,0,H,1,0,7,3,0,0,L,L,M,M,M,M,M,M,M,M,3
20,2024-08-31,Montpellier,Nantes,1,3,A,1,2,7,0,1,4,L,W,D,D,M,M,M,M,M,M,3
21,2024-08-31,Toulouse,Marseille,1,3,A,1,7,1,3,2,4,D,D,D,W,M,M,M,M,M,M,3
22,2024-09-01,Monaco,Lens,1,1,D,3,3,0,0,6,6,W,W,W,W,M,M,M,M,M,M,3
23,2024-09-01,Angers,Nice,1,4,A,0,2,3,3,0,1,L,D,L,L,M,M,M,M,M,M,3
24,2024-09-01,Reims,Rennes,2,1,H,2,4,4,3,1,3,D,L,L,W,M,M,M,M,M,M,3
