,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
0,2024-08-16,Le Havre,Paris SG,1,4,A,0,1,A,7.0,1.42,4.75,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
1,2024-08-17,Brest,Marseille,1,5,A,1,3,A,3.0,2.4,3.3,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
2,2024-08-17,Reims,Lille,0,2,A,0,1,A,3.3,2.2,3.4,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
3,2024-08-17,Monaco,St Etienne,1,0,H,1,0,H,1.48,6.25,4.5,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
4,2024-08-18,Auxerre,Nice,2,1,H,1,1,D,3.1,2.35,3.25,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
5,2024-08-18,Angers,Lens,0,1,A,0,1,A,5.75,1.62,3.8,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
6,2024-08-18,Montpellier,Strasbourg,1,1,D,0,0,D,2.0,3.75,3.3,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
7,2024-08-18,Toulouse,Nantes,0,0,D,0,0,D,2.1,3.7,3.3,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
8,2024-08-18,Rennes,Lyon,3,0,H,2,0,H,2.35,2.9,3.5,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
9,2024-08-23,Paris SG,Montpellier,6,0,H,2,0,H,1.25,10.0,7.0,4,1,1,1,1,0,0,0,3,1,M,M,M,M,M,M,M,M,M,M,2
10,2024-08-24,Lyon,Monaco,0,2,A,0,0,D,2.5,2.6,3.8,0,1,3,0,0,1,2,0,0,3,L,W,M,M,M,M,M,M,M,M,2
11,2024-08-24,Lille,Angers,2,0,H,1,0,H,1.36,9.0,4.75,2,0,0,1,1,0,0,1,3,0,W,L,M,M,M,M,M,M,M,M,2
12,2024-08-24,St Etienne,Le Havre,0,2,A,0,0,D,2.1,3.5,3.4,0,1,1,4,0,0,1,1,0,0,L,L,M,M,M,M,M,M,M,M,2
13,2024-08-25,Lens,Brest,2,0,H,2,0,H,1.8,4.5,3.7,1,1,0,5,1,1,0,3,3,0,W,L,M,M,M,M,M,M,M,M,2
14,2024-08-25,Nantes,Auxerre,2,0,H,1,0,H,2.25,3.25,3.3,0,2,0,1,0,1,0,1,1,3,D,W,M,M,M,M,M,M,M,M,2
15,2024-08-25,Nice,Toulouse,1,1,D,0,0,D,1.85,4.5,3.4,1,0,2,0,1,0,1,0,0,1,L,D,M,M,M,M,M,M,M,M,2
16,2024-08-25,Strasbourg,Rennes,3,1,H,1,0,H,3.1,2.25,3.5,1,3,1,0,0,2,0,0,1,3,D,W,M,M,M,M,M,M,M,M,2
17,2024-08-25,Marseille,Reims,2,2,D,1,0,H,1.53,5.5,4.5,5,0,1,2,3,0,1,1,3,0,W,L,M,M,M,M,M,M,M,M,2
