,season,league_name,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
8575,2025,UEFA Champions League,2025-07-08,KuPS,Milsami Orhei,1.0,0.0,0.0,0.0,H
8576,2025,UEFA Champions League,2025-07-08,Saburtalo,Malmo FF,1.0,3.0,0.0,1.0,A
8577,2025,UEFA Champions League,2025-07-08,FC Noah,Buducnost Podgorica,1.0,0.0,0.0,0.0,H
8578,2025,UEFA Champions League,2025-07-08,FC Levadia Tallinn,Rīgas FS,0.0,1.0,0.0,0.0,A
8579,2025,UEFA Champions League,2025-07-08,Olimpija Ljubljana,Kairat Almaty,1.0,1.0,0.0,0.0,D
8580,2025,UEFA Champions League,2025-07-08,The New Saints,Shkendija,0.0,0.0,0.0,0.0,D
8581,2025,UEFA Champions League,2025-07-08,Vikingur Gota,Lincoln Red Imps FC,2.0,3.0,2.0,3.0,A
8582,2025,UEFA Champions League,2025-07-08,Drita,FC Differdange 03,1.0,0.0,0.0,0.0,H
8583,2025,UEFA Champions League,2025-07-08,Egnatia Rrogozhinë,Breidablik,1.0,0.0,0.0,0.0,H
8584,2025,UEFA Champions League,2025-07-08,Virtus,Zrinjski,0.0,2.0,0.0,1.0,A
8585,2025,UEFA Champions League,2025-07-09,FK Zalgiris Vilnius,Hamrun Spartans,2.0,0.0,0.0,0.0,H
8586,2025,UEFA Champions League,2025-07-09,FCSB,Inter Club d'Escaldes,3.0,1.0,2.0,0.0,H
8587,2025,UEFA Champions League,2025-07-09,Ludogorets,Dinamo Minsk,1.0,0.0,0.0,0.0,H
8588,2025,UEFA Champions League,2025-07-09,Shelbourne,Linfield,1.0,0.0,0.0,0.0,H
8589,2025,UEFA Champions League,2025-07-15,Kairat Almaty,Olimpija Ljubljana,2.0,0.0,2.0,0.0,H
8590,2025,UEFA Champions League,2025-07-15,Lincoln Red Imps FC,Vikingur Gota,1.0,0.0,0.0,0.0,H
8591,2025,UEFA Champions League,2025-07-15,Malmo FF,Saburtalo,3.0,1.0,0.0,0.0,H
8592,2025,UEFA Champions League,2025-07-15,Milsami Orhei,KuPS,0.0,0.0,0.0,0.0,D
8593,2025,UEFA Champions League,2025-07-15,Rīgas FS,FC Levadia Tallinn,1.0,0.0,0.0,0.0,H
8594,2025,UEFA Champions League,2025-07-15,Hamrun Spartans,FK Zalgiris Vilnius,2.0,0.0,2.0,0.0,H
8595,2025,UEFA Champions League,2025-07-15,Shkendija,The New Saints,1.0,1.0,1.0,1.0,D
8596,2025,UEFA Champions League,2025-07-15,FC Differdange 03,Drita,2.0,3.0,1.0,2.0,A
8597,2025,UEFA Champions League,2025-07-15,Inter Club d'Escaldes,FCSB,2.0,1.0,0.0,0.0,H
8598,2025,UEFA Champions League,2025-07-15,Breidablik,Egnatia Rrogozhinë,5.0,0.0,4.0,0.0,H
8599,2025,UEFA Champions League,2025-07-15,Buducnost Podgorica,FC Noah,2.0,2.0,0.0,2.0,D
8600,2025,UEFA Champions League,2025-07-15,Zrinjski,Virtus,2.0,1.0,1.0,0.0,H
8601,2025,UEFA Champions League,2025-07-16,Dinamo Minsk,Ludogorets,2.0,1.0,0.0,1.0,H
8602,2025,UEFA Champions League,2025-07-16,Linfield,Shelbourne,1.0,1.0,1.0,1.0,D
8603,2025,UEFA Champions League,2025-07-22,KuPS,Kairat Almaty,2.0,0.0,0.0,0.0,H
8604,2025,UEFA Champions League,2025-07-22,Lincoln Red Imps FC,FK Crvena Zvezda,0.0,1.0,0.0,1.0,A
8605,2025,UEFA Champions League,2025-07-22,FC Noah,Ferencvarosi TC,1.0,2.0,1.0,1.0,A
8606,2025,UEFA Champions League,2025-07-22,FC Copenhagen,Drita,2.0,0.0,0.0,0.0,H
8607,2025,UEFA Champions League,2025-07-22,Plzen,Servette FC,0.0,1.0,0.0,1.0,A
8608,2025,UEFA Champions League,2025-07-22,Pafos,Maccabi Tel Aviv,1.0,1.0,0.0,0.0,D
8609,2025,UEFA Champions League,2025-07-22,Rīgas FS,Malmo FF,1.0,4.0,1.0,2.0,A
8610,2025,UEFA Champions League,2025-07-22,Hamrun Spartans,Dynamo Kyiv,0.0,3.0,0.0,1.0,A
8611,2025,UEFA Champions League,2025-07-22,Shkendija,FCSB,1.0,0.0,0.0,0.0,H
8612,2025,UEFA Champions League,2025-07-22,Slovan Bratislava,Zrinjski,4.0,0.0,2.0,0.0,H
8613,2025,UEFA Champions League,2025-07-22,Lech Poznan,Breidablik,7.0,1.0,5.0,1.0,H
8614,2025,UEFA Champions League,2025-07-22,Rangers,Panathinaikos,2.0,0.0,0.0,0.0,H
8615,2025,UEFA Champions League,2025-07-22,HNK Rijeka,Ludogorets,0.0,0.0,0.0,0.0,D
8616,2025,UEFA Champions League,2025-07-23,Brann,Red Bull Salzburg,1.0,4.0,1.0,0.0,A
8617,2025,UEFA Champions League,2025-07-23,Shelbourne,Qarabag,0.0,3.0,0.0,1.0,A
8618,2025,UEFA Champions League,2025-07-29,Kairat Almaty,KuPS,3.0,0.0,3.0,0.0,H
8619,2025,UEFA Champions League,2025-07-29,Dynamo Kyiv,Hamrun Spartans,3.0,0.0,2.0,0.0,H
8620,2025,UEFA Champions League,2025-07-29,Drita,FC Copenhagen,0.0,1.0,0.0,1.0,A
8621,2025,UEFA Champions League,2025-07-29,Zrinjski,Slovan Bratislava,2.0,2.0,0.0,0.0,D
8622,2025,UEFA Champions League,2025-07-29,FK Crvena Zvezda,Lincoln Red Imps FC,5.0,1.0,4.0,0.0,H
8623,2025,UEFA Champions League,2025-07-30,Qarabag,Shelbourne,1.0,0.0,1.0,0.0,H
8624,2025,UEFA Champions League,2025-07-30,Malmo FF,Rīgas FS,1.0,0.0,1.0,0.0,H
8625,2025,UEFA Champions League,2025-07-30,FCSB,Shkendija,1.0,2.0,1.0,1.0,A
8626,2025,UEFA Champions League,2025-07-30,Ludogorets,HNK Rijeka,1.0,1.0,1.0,0.0,D
8627,2025,UEFA Champions League,2025-07-30,Maccabi Tel Aviv,Pafos,0.0,1.0,0.0,1.0,A
8628,2025,UEFA Champions League,2025-07-30,Panathinaikos,Rangers,1.0,1.0,0.0,0.0,D
8629,2025,UEFA Champions League,2025-07-30,Ferencvarosi TC,FC Noah,4.0,3.0,2.0,2.0,H
8630,2025,UEFA Champions League,2025-07-30,Breidablik,Lech Poznan,0.0,1.0,0.0,1.0,A
8631,2025,UEFA Champions League,2025-07-30,Red Bull Salzburg,Brann,1.0,1.0,1.0,1.0,D
8632,2025,UEFA Champions League,2025-07-30,Servette FC,Plzen,1.0,3.0,1.0,2.0,A
8633,2025,UEFA Champions League,2025-08-05,Malmo FF,FC Copenhagen,0.0,0.0,0.0,0.0,D
8634,2025,UEFA Champions League,2025-08-05,Dynamo Kyiv,Pafos,0.0,1.0,0.0,0.0,A
8635,2025,UEFA Champions League,2025-08-05,Shkendija,Qarabag,0.0,1.0,0.0,1.0,A
8636,2025,UEFA Champions League,2025-08-05,Rangers,Plzen,3.0,0.0,2.0,0.0,H
8637,2025,UEFA Champions League,2025-08-06,Kairat Almaty,Slovan Bratislava,1.0,0.0,0.0,0.0,H
8638,2025,UEFA Champions League,2025-08-06,Red Bull Salzburg,Club Brugge KV,0.0,1.0,0.0,0.0,A
8639,2025,UEFA Champions League,2025-08-06,Ludogorets,Ferencvarosi TC,0.0,0.0,0.0,0.0,D
8640,2025,UEFA Champions League,2025-08-06,Lech Poznan,FK Crvena Zvezda,1.0,3.0,1.0,1.0,A
8641,2025,UEFA Champions League,2025-08-06,Nice,Benfica,0.0,2.0,0.0,0.0,A
8642,2025,UEFA Champions League,2025-08-06,Feyenoord,Fenerbahce,2.0,1.0,1.0,0.0,H
8643,2025,UEFA Champions League,2025-08-12,Qarabag,Shkendija,5.0,1.0,4.0,1.0,H
8644,2025,UEFA Champions League,2025-08-12,Fenerbahce,Feyenoord,5.0,2.0,2.0,1.0,H
8645,2025,UEFA Champions League,2025-08-12,Pafos,Dynamo Kyiv,2.0,0.0,1.0,0.0,H
