,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
0,2025,2025-07-10,Sabah FA,Celje,2,3,2,0,A
1,2025,2025-07-10,AEK Larnaca,FK Partizan,1,0,0,1,H
2,2025,2025-07-10,Sheriff Tiraspol,Prishtina,4,0,2,2,H
3,2025,2025-07-10,Paks,CFR 1907 Cluj,0,0,0,0,D
4,2025,2025-07-10,Levski Sofia,Hapoel Beer Sheva,0,0,0,0,D
5,2025,2025-07-10,Shakhtar Donetsk,Ilves,6,0,2,4,H
6,2025,2025-07-10,Spartak Trnava,BK Hacken,0,1,0,0,A
7,2025,2025-07-10,Legia Warszawa,Aktobe,1,0,1,0,H
8,2025,2025-07-17,Ilves,Shakhtar Donetsk,0,0,0,0,D
9,2025,2025-07-17,Aktobe,Legia Warszawa,0,1,0,0,A
10,2025,2025-07-17,BK Hacken,Spartak Trnava,2,2,1,1,D
11,2025,2025-07-17,CFR 1907 Cluj,Paks,3,0,1,2,H
12,2025,2025-07-17,Prishtina,Sheriff Tiraspol,2,1,0,2,H
13,2025,2025-07-24,Sheriff Tiraspol,Utrecht,1,3,1,0,A
14,2025,2025-07-24,Baník Ostrava,Legia Warszawa,2,2,1,1,D
15,2025,2025-07-24,FC Midtjylland,Hibernian,1,1,0,1,D
16,2025,2025-07-24,Levski Sofia,SC Braga,0,0,0,0,D
17,2025,2025-07-24,Besiktas,Shakhtar Donetsk,2,4,1,1,A
18,2025,2025-07-24,Anderlecht,BK Hacken,1,0,1,0,H
19,2025,2025-07-24,Celje,AEK Larnaca,1,1,1,0,D
20,2025,2025-07-24,FC Lugano,CFR 1907 Cluj,0,0,0,0,D
21,2025,2025-07-31,AEK Larnaca,Celje,2,1,1,1,H
22,2025,2025-07-31,Utrecht,Sheriff Tiraspol,4,1,1,3,H
23,2025,2025-07-31,Shakhtar Donetsk,Besiktas,2,0,2,0,H
24,2025,2025-07-31,Legia Warszawa,Baník Ostrava,2,1,0,2,H
