country,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Spain,2025-08-15,Girona,Rayo Vallecano,1.0,3.0,0.0,3.0,A
Spain,2025-08-15,Villarreal,Oviedo,2.0,0.0,2.0,0.0,H
Spain,2025-08-16,Mallorca,Barcelona,0.0,3.0,0.0,2.0,A
Spain,2025-08-16,Valencia,Real Sociedad,1.0,1.0,0.0,0.0,D
Spain,2025-08-16,Alaves,Levante,2.0,1.0,1.0,0.0,H
Spain,2025-08-17,Celta Vigo,Getafe,0.0,2.0,0.0,0.0,A
Spain,2025-08-17,Athletic Club,Sevilla,3.0,2.0,2.0,0.0,H
Spain,2025-08-17,Espanyol,Atletico Madrid,2.0,1.0,0.0,1.0,H
Spain,2025-08-18,Elche,Real Betis,1.0,1.0,0.0,1.0,D
Spain,2025-08-19,Real Madrid,Osasuna,1.0,0.0,0.0,0.0,H
Spain,2025-08-22,Real Betis,Alaves,1.0,0.0,1.0,0.0,H
Spain,2025-08-23,Mallorca,Celta Vigo,1.0,1.0,0.0,1.0,D
Spain,2025-08-23,Atletico Madrid,Elche,1.0,1.0,1.0,1.0,D
Spain,2025-08-23,Levante,Barcelona,2.0,3.0,2.0,0.0,A
Spain,2025-08-24,Osasuna,Valencia,1.0,0.0,1.0,0.0,H
Spain,2025-08-24,Villarreal,Girona,5.0,0.0,4.0,0.0,H
Spain,2025-08-24,Real Sociedad,Espanyol,2.0,2.0,0.0,2.0,D
Spain,2025-08-24,Oviedo,Real Madrid,0.0,3.0,0.0,1.0,A
Spain,2025-08-25,Athletic Club,Rayo Vallecano,1.0,0.0,0.0,0.0,H
Spain,2025-08-25,Sevilla,Getafe,1.0,2.0,1.0,1.0,A
Spain,2025-08-27,Celta Vigo,Real Betis,1.0,1.0,0.0,1.0,D
Spain,2025-08-29,Elche,Levante,2.0,0.0,0.0,0.0,H
Spain,2025-08-29,Valencia,Getafe,3.0,0.0,1.0,0.0,H
Spain,2025-08-30,Alaves,Atletico Madrid,1.0,1.0,1.0,1.0,D
Spain,2025-08-30,Oviedo,Real Sociedad,1.0,0.0,1.0,0.0,H
Spain,2025-08-30,Girona,Sevilla,0.0,2.0,0.0,1.0,A
Spain,2025-08-30,Real Madrid,Mallorca,2.0,1.0,2.0,1.0,H
Spain,2025-08-31,Celta Vigo,Villarreal,1.0,1.0,0.0,0.0,D
Spain,2025-08-31,Real Betis,Athletic Club,1.0,2.0,0.0,0.0,A
Spain,2025-08-31,Espanyol,Osasuna,1.0,0.0,0.0,0.0,H
Spain,2025-08-31,Rayo Vallecano,Barcelona,1.0,1.0,0.0,1.0,D
Spain,2025-09-12,Sevilla,Elche,2.0,2.0,1.0,0.0,D
Spain,2025-09-13,Getafe,Oviedo,2.0,0.0,2.0,0.0,H
Spain,2025-09-13,Real Sociedad,Real Madrid,1.0,2.0,0.0,2.0,A
Spain,2025-09-13,Athletic Club,Alaves,0.0,1.0,0.0,0.0,A
Spain,2025-09-13,Atletico Madrid,Villarreal,2.0,0.0,1.0,0.0,H
Spain,2025-09-14,Celta Vigo,Girona,1.0,1.0,0.0,1.0,D
Spain,2025-09-14,Levante,Real Betis,2.0,2.0,2.0,1.0,D
Spain,2025-09-14,Osasuna,Rayo Vallecano,2.0,0.0,1.0,0.0,H
Spain,2025-09-14,Barcelona,Valencia,6.0,0.0,1.0,0.0,H
Spain,2025-09-15,Espanyol,Mallorca,3.0,2.0,2.0,1.0,H
