,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
61,mondiale,2014,2014-06-12,Brazil,Croatia,3,1,1,1,H
62,mondiale,2014,2014-06-13,Mexico,Cameroon,1,0,0,0,H
63,mondiale,2014,2014-06-13,Spain,Netherlands,1,5,1,1,A
64,mondiale,2014,2014-06-13,Chile,Australia,3,1,2,1,H
65,mondiale,2014,2014-06-14,Colombia,Greece,3,0,1,0,H
66,mondiale,2014,2014-06-14,Uruguay,Costa Rica,1,3,1,0,A
67,mondiale,2014,2014-06-14,England,Italy,1,2,1,1,A
68,mondiale,2014,2014-06-15,Ivory Coast,Japan,2,1,0,1,H
69,mondiale,2014,2014-06-15,Switzerland,Ecuador,2,1,0,1,H
70,mondiale,2014,2014-06-15,France,Honduras,3,0,1,0,H
71,mondiale,2014,2014-06-15,Argentina,Bosnia & Herzegovina,2,1,1,0,H
72,mondiale,2014,2014-06-16,Germany,Portugal,4,0,3,0,H
73,mondiale,2014,2014-06-16,Iran,Nigeria,0,0,0,0,D
74,mondiale,2014,2014-06-16,Ghana,USA,1,2,0,1,A
75,mondiale,2014,2014-06-17,Belgium,Algeria,2,1,0,1,H
76,mondiale,2014,2014-06-17,Brazil,Mexico,0,0,0,0,D
77,mondiale,2014,2014-06-17,Russia,South Korea,1,1,0,0,D
78,mondiale,2014,2014-06-18,Australia,Netherlands,2,3,1,1,A
79,mondiale,2014,2014-06-18,Spain,Chile,0,2,0,2,A
80,mondiale,2014,2014-06-18,Cameroon,Croatia,0,4,0,1,A
81,mondiale,2014,2014-06-19,Colombia,Ivory Coast,2,1,0,0,H
82,mondiale,2014,2014-06-19,Uruguay,England,2,1,1,0,H
83,mondiale,2014,2014-06-19,Japan,Greece,0,0,0,0,D
84,mondiale,2014,2014-06-20,Italy,Costa Rica,0,1,0,1,A
85,mondiale,2014,2014-06-20,Switzerland,France,2,5,0,3,A
86,mondiale,2014,2014-06-20,Honduras,Ecuador,1,2,1,1,A
87,mondiale,2014,2014-06-21,Argentina,Iran,1,0,0,0,H
88,mondiale,2014,2014-06-21,Germany,Ghana,2,2,0,0,D
89,mondiale,2014,2014-06-21,Nigeria,Bosnia & Herzegovina,1,0,1,0,H
90,mondiale,2014,2014-06-22,Belgium,Russia,1,0,0,0,H
91,mondiale,2014,2014-06-22,South Korea,Algeria,2,4,0,3,A
92,mondiale,2014,2014-06-22,USA,Portugal,2,2,0,1,D
93,mondiale,2014,2014-06-23,Australia,Spain,0,3,0,1,A
94,mondiale,2014,2014-06-23,Netherlands,Chile,2,0,0,0,H
95,mondiale,2014,2014-06-23,Croatia,Mexico,1,3,0,0,A
96,mondiale,2014,2014-06-23,Cameroon,Brazil,1,4,1,2,A
97,mondiale,2014,2014-06-24,Costa Rica,England,0,0,0,0,D
98,mondiale,2014,2014-06-24,Italy,Uruguay,0,1,0,0,A
99,mondiale,2014,2014-06-24,Japan,Colombia,1,4,1,1,A
100,mondiale,2014,2014-06-24,Greece,Ivory Coast,2,1,1,0,H
101,mondiale,2014,2014-06-25,Nigeria,Argentina,2,3,1,2,A
102,mondiale,2014,2014-06-25,Bosnia & Herzegovina,Iran,3,1,1,0,H
103,mondiale,2014,2014-06-25,Ecuador,France,0,0,0,0,D
104,mondiale,2014,2014-06-25,Honduras,Switzerland,0,3,0,2,A
105,mondiale,2014,2014-06-26,Portugal,Ghana,2,1,1,0,H
106,mondiale,2014,2014-06-26,USA,Germany,0,1,0,0,A
107,mondiale,2014,2014-06-26,South Korea,Belgium,0,1,0,0,A
108,mondiale,2014,2014-06-26,Algeria,Russia,1,1,0,1,D
109,mondiale,2014,2014-06-28,Colombia,Uruguay,2,0,1,0,H
110,mondiale,2014,2014-06-29,Netherlands,Mexico,2,1,0,0,H
111,mondiale,2014,2014-06-30,France,Nigeria,2,0,0,0,H
112,mondiale,2014,2014-07-04,France,Germany,0,1,0,1,A
113,mondiale,2014,2014-07-04,Brazil,Colombia,2,1,1,0,H
114,mondiale,2014,2014-07-05,Argentina,Belgium,1,0,1,0,H
115,mondiale,2014,2014-07-08,Brazil,Germany,1,7,0,5,A
116,mondiale,2014,2014-07-12,Brazil,Netherlands,0,3,0,2,A
