country,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
England,2025-08-15,Liverpool,Bournemouth,4.0,2.0,1.0,0.0,H
England,2025-08-16,Aston Villa,Newcastle,0.0,0.0,0.0,0.0,D
England,2025-08-16,Tottenham,Burnley,3.0,0.0,1.0,0.0,H
England,2025-08-16,Brighton,Fulham,1.0,1.0,0.0,0.0,D
England,2025-08-16,Sunderland,West Ham,3.0,0.0,0.0,0.0,H
England,2025-08-16,Wolves,Manchester City,0.0,4.0,0.0,2.0,A
England,2025-08-17,Chelsea,Crystal Palace,0.0,0.0,0.0,0.0,D
England,2025-08-17,Nottingham Forest,Brentford,3.0,1.0,3.0,0.0,H
England,2025-08-17,Manchester United,Arsenal,0.0,1.0,0.0,1.0,A
England,2025-08-18,Leeds,Everton,1.0,0.0,0.0,0.0,H
England,2025-08-22,West Ham,Chelsea,1.0,5.0,1.0,3.0,A
England,2025-08-23,Manchester City,Tottenham,0.0,2.0,0.0,2.0,A
England,2025-08-23,Bournemouth,Wolves,1.0,0.0,1.0,0.0,H
England,2025-08-23,Burnley,Sunderland,2.0,0.0,0.0,0.0,H
England,2025-08-23,Brentford,Aston Villa,1.0,0.0,1.0,0.0,H
England,2025-08-23,Arsenal,Leeds,5.0,0.0,2.0,0.0,H
England,2025-08-24,Everton,Brighton,2.0,0.0,1.0,0.0,H
England,2025-08-24,Crystal Palace,Nottingham Forest,1.0,1.0,1.0,0.0,D
England,2025-08-24,Fulham,Manchester United,1.0,1.0,0.0,0.0,D
England,2025-08-25,Newcastle,Liverpool,2.0,3.0,0.0,1.0,A
England,2025-08-30,Chelsea,Fulham,2.0,0.0,1.0,0.0,H
England,2025-08-30,Sunderland,Brentford,2.0,1.0,0.0,0.0,H
England,2025-08-30,Tottenham,Bournemouth,0.0,1.0,0.0,1.0,A
England,2025-08-30,Manchester United,Burnley,3.0,2.0,1.0,0.0,H
England,2025-08-30,Wolves,Everton,2.0,3.0,1.0,2.0,A
England,2025-08-30,Leeds,Newcastle,0.0,0.0,0.0,0.0,D
England,2025-08-31,Brighton,Manchester City,2.0,1.0,0.0,1.0,H
England,2025-08-31,Nottingham Forest,West Ham,0.0,3.0,0.0,0.0,A
England,2025-08-31,Liverpool,Arsenal,1.0,0.0,0.0,0.0,H
England,2025-08-31,Aston Villa,Crystal Palace,0.0,3.0,0.0,1.0,A
England,2025-09-13,Arsenal,Nottingham Forest,3.0,0.0,1.0,0.0,H
England,2025-09-13,Crystal Palace,Sunderland,0.0,0.0,0.0,0.0,D
England,2025-09-13,Fulham,Leeds,1.0,0.0,0.0,0.0,H
England,2025-09-13,Everton,Aston Villa,0.0,0.0,0.0,0.0,D
England,2025-09-13,Newcastle,Wolves,1.0,0.0,1.0,0.0,H
England,2025-09-13,Bournemouth,Brighton,2.0,1.0,1.0,0.0,H
England,2025-09-13,West Ham,Tottenham,0.0,3.0,0.0,0.0,A
England,2025-09-13,Brentford,Chelsea,2.0,2.0,1.0,0.0,D
England,2025-09-14,Burnley,Liverpool,0.0,1.0,0.0,0.0,A
England,2025-09-14,Manchester City,Manchester United,3.0,0.0,1.0,0.0,H
