,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D
0,2024-08-16,Man United,Fulham,1,0,H,0,0,D,1.6,5.25,4.2
1,2024-08-17,Ipswich,Liverpool,0,2,A,0,0,D,8.5,1.33,5.5
2,2024-08-17,Arsenal,Wolves,2,0,H,1,0,H,1.18,13.0,7.5
3,2024-08-17,Everton,Brighton,0,3,A,0,1,A,2.63,2.63,3.3
4,2024-08-17,Newcastle,Southampton,1,0,H,1,0,H,1.36,8.0,5.25
5,2024-08-17,Nott'm Forest,Bournemouth,1,1,D,1,0,H,2.45,2.8,3.5
6,2024-08-17,West Ham,Aston Villa,1,2,A,1,1,D,2.45,2.75,3.6
7,2024-08-18,Brentford,Crystal Palace,2,1,H,1,0,H,2.4,2.9,3.4
8,2024-08-18,Chelsea,Man City,0,2,A,0,1,A,4.1,1.8,3.9
9,2024-08-19,Leicester,Tottenham,1,1,D,0,1,A,5.0,1.62,4.33
10,2024-08-24,Brighton,Man United,2,1,H,1,0,H,2.5,2.63,3.7
11,2024-08-24,Crystal Palace,West Ham,0,2,A,0,0,D,2.15,3.2,3.6
12,2024-08-24,Fulham,Leicester,2,1,H,1,1,D,1.8,4.2,3.75
13,2024-08-24,Man City,Ipswich,4,1,H,3,1,H,1.08,21.0,12.0
14,2024-08-24,Southampton,Nott'm Forest,0,1,A,0,0,D,2.55,2.8,3.3
15,2024-08-24,Tottenham,Everton,4,0,H,2,0,H,1.44,6.5,4.75
16,2024-08-24,Aston Villa,Arsenal,0,2,A,0,0,D,4.33,1.75,3.8
17,2024-08-25,Bournemouth,Newcastle,1,1,D,1,0,H,2.9,2.2,3.8
18,2024-08-25,Wolves,Chelsea,2,6,A,2,2,D,4.33,1.75,4.0
19,2024-08-25,Liverpool,Brentford,2,0,H,1,0,H,1.27,11.0,5.75
20,2024-08-31,Arsenal,Brighton,1,1,D,1,0,H,1.33,8.5,5.5
21,2024-08-31,Brentford,Southampton,3,1,H,1,0,H,1.75,4.33,3.9
22,2024-08-31,Everton,Bournemouth,2,3,A,0,0,D,2.75,2.55,3.4
23,2024-08-31,Ipswich,Fulham,1,1,D,1,1,D,3.0,2.3,3.5
24,2024-08-31,Leicester,Aston Villa,1,2,A,0,1,A,4.5,1.7,4.0
25,2024-08-31,Nott'm Forest,Wolves,1,1,D,1,1,D,2.0,3.7,3.7
26,2024-08-31,West Ham,Man City,1,3,A,1,2,A,7.0,1.38,5.5
27,2024-09-01,Chelsea,Crystal Palace,1,1,D,1,0,H,1.6,5.0,4.33
28,2024-09-01,Newcastle,Tottenham,2,1,H,1,0,H,2.5,2.5,4.0
29,2024-09-01,Man United,Liverpool,0,3,A,0,2,A,3.7,1.85,4.2
30,2024-09-14,Southampton,Man United,0,3,A,0,2,A,4.5,1.7,4.0
31,2024-09-14,Brighton,Ipswich,0,0,D,0,0,D,1.38,7.5,5.0
32,2024-09-14,Crystal Palace,Leicester,2,2,D,0,1,A,1.62,5.5,4.0
33,2024-09-14,Fulham,West Ham,1,1,D,1,0,H,2.38,3.0,3.25
34,2024-09-14,Liverpool,Nott'm Forest,0,1,A,0,0,D,1.22,12.0,6.5
35,2024-09-14,Man City,Brentford,2,1,H,2,1,H,1.18,12.0,8.0
36,2024-09-14,Aston Villa,Everton,3,2,H,1,2,A,1.5,6.5,4.2
