,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
190,Championship,2025,2025-08-08,Birmingham,Ipswich,1,1,0,1,D
191,Championship,2025,2025-08-09,Southampton,Wrexham,2,1,0,2,H
192,Championship,2025,2025-08-09,Charlton,Watford,1,0,0,1,H
193,Championship,2025,2025-08-09,Coventry,Hull City,0,0,0,0,D
194,Championship,2025,2025-08-09,West Brom,Blackburn,1,0,1,0,H
195,Championship,2025,2025-08-09,Middlesbrough,Swansea,1,0,0,1,H
196,Championship,2025,2025-08-09,Norwich,Millwall,1,2,0,1,A
197,Championship,2025,2025-08-09,QPR,Preston,1,1,1,0,D
198,Championship,2025,2025-08-09,Stoke City,Derby,3,1,0,3,H
199,Championship,2025,2025-08-09,Oxford United,Portsmouth,0,1,0,0,A
200,Championship,2025,2025-08-09,Sheffield Utd,Bristol City,1,4,1,0,A
201,Championship,2025,2025-08-10,Leicester,Sheffield Wednesday,2,1,0,2,H
202,Championship,2025,2025-08-16,Derby,Coventry,3,5,2,1,A
203,Championship,2025,2025-08-16,Portsmouth,Norwich,1,2,0,1,A
204,Championship,2025,2025-08-16,Wrexham,West Brom,2,3,1,1,A
205,Championship,2025,2025-08-16,Watford,QPR,2,1,2,0,H
206,Championship,2025,2025-08-16,Bristol City,Charlton,0,0,0,0,D
207,Championship,2025,2025-08-16,Millwall,Middlesbrough,0,3,0,0,A
208,Championship,2025,2025-08-16,Preston,Leicester,2,1,1,1,H
209,Championship,2025,2025-08-16,Blackburn,Birmingham,1,2,0,1,A
210,Championship,2025,2025-08-16,Sheffield Wednesday,Stoke City,0,3,0,0,A
211,Championship,2025,2025-08-16,Swansea,Sheffield Utd,1,0,0,1,H
212,Championship,2025,2025-08-17,Ipswich,Southampton,1,1,1,0,D
213,Championship,2025,2025-08-17,Hull City,Oxford United,3,2,2,1,H
214,Championship,2025,2025-08-22,Derby,Bristol City,1,1,0,1,D
215,Championship,2025,2025-08-23,Hull City,Blackburn,0,3,0,0,A
216,Championship,2025,2025-08-23,Swansea,Watford,1,1,0,1,D
217,Championship,2025,2025-08-23,Charlton,Leicester,0,1,0,0,A
218,Championship,2025,2025-08-23,Southampton,Stoke City,1,2,0,1,A
219,Championship,2025,2025-08-23,Birmingham,Oxford United,1,0,1,0,H
220,Championship,2025,2025-08-23,Preston,Ipswich,1,0,1,0,H
221,Championship,2025,2025-08-23,West Brom,Portsmouth,1,1,1,0,D
222,Championship,2025,2025-08-23,Sheffield Utd,Millwall,0,1,0,0,A
223,Championship,2025,2025-08-23,Norwich,Middlesbrough,1,2,0,1,A
224,Championship,2025,2025-08-23,Coventry,QPR,7,1,5,2,H
225,Championship,2025,2025-08-23,Wrexham,Sheffield Wednesday,2,2,2,0,D
226,Championship,2025,2025-08-29,Leicester,Birmingham,2,0,1,1,H
227,Championship,2025,2025-08-30,Middlesbrough,Sheffield Utd,1,0,0,1,H
228,Championship,2025,2025-08-30,QPR,Charlton,3,1,1,2,H
229,Championship,2025,2025-08-30,Stoke City,West Brom,0,1,0,0,A
230,Championship,2025,2025-08-30,Watford,Southampton,2,2,0,2,D
231,Championship,2025,2025-08-30,Bristol City,Hull City,4,2,3,1,H
232,Championship,2025,2025-08-30,Ipswich,Derby,2,2,1,1,D
233,Championship,2025,2025-08-30,Millwall,Wrexham,0,2,0,0,A
