,league,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
437,Portugais,2025-08-08,Casa Pia,Sporting CP,0,2,0,0,A
438,Portugais,2025-08-09,Nacional,GIL Vicente,0,2,0,0,A
439,Portugais,2025-08-09,Arouca,AVS,3,1,1,2,H
440,Portugais,2025-08-10,Famalicao,Santa Clara,3,0,2,1,H
441,Portugais,2025-08-10,Moreirense,Alverca,2,1,1,1,H
442,Portugais,2025-08-10,SC Braga,Tondela,3,0,2,1,H
443,Portugais,2025-08-11,Estoril,Estrela,1,1,1,0,D
444,Portugais,2025-08-11,FC Porto,Guimaraes,3,0,2,1,H
445,Portugais,2025-08-15,AVS,Casa Pia,0,2,0,0,A
446,Portugais,2025-08-16,Tondela,Famalicao,0,1,0,0,A
447,Portugais,2025-08-16,Guimaraes,Estoril,3,2,1,2,H
448,Portugais,2025-08-16,Estrela,Benfica,0,1,0,0,A
449,Portugais,2025-08-17,Rio Ave,Nacional,1,1,1,0,D
450,Portugais,2025-08-17,Santa Clara,Moreirense,0,1,0,0,A
451,Portugais,2025-08-17,Alverca,SC Braga,0,3,0,0,A
452,Portugais,2025-08-17,Sporting CP,Arouca,6,0,3,3,H
453,Portugais,2025-08-18,GIL Vicente,FC Porto,0,2,0,0,A
454,Portugais,2025-08-23,Moreirense,Guimaraes,2,0,0,2,H
455,Portugais,2025-08-23,Nacional,Sporting CP,1,4,1,0,A
456,Portugais,2025-08-23,Benfica,Tondela,3,0,2,1,H
457,Portugais,2025-08-23,Arouca,Rio Ave,3,3,1,2,D
458,Portugais,2025-08-24,Famalicao,GIL Vicente,0,0,0,0,D
459,Portugais,2025-08-24,FC Porto,Casa Pia,4,0,3,1,H
460,Portugais,2025-08-24,SC Braga,AVS,2,2,1,1,D
461,Portugais,2025-08-25,Estrela,Alverca,2,2,1,1,D
462,Portugais,2025-08-29,GIL Vicente,Moreirense,2,0,0,2,H
463,Portugais,2025-08-30,Casa Pia,Nacional,0,2,0,0,A
464,Portugais,2025-08-30,Guimaraes,Arouca,1,1,1,0,D
465,Portugais,2025-08-30,AVS,Famalicao,0,1,0,0,A
466,Portugais,2025-08-30,Sporting CP,FC Porto,1,2,0,1,A
467,Portugais,2025-08-31,Tondela,Estoril,2,2,0,2,D
468,Portugais,2025-08-31,Alverca,Benfica,1,2,0,1,A
469,Portugais,2025-08-31,Rio Ave,SC Braga,2,2,2,0,D
470,Portugais,2025-08-31,Santa Clara,Estrela,0,0,0,0,D
471,Portugais,2025-09-06,Estoril,Santa Clara,0,1,0,0,A
472,Portugais,2025-09-12,Benfica,Santa Clara,1,1,0,1,D
473,Portugais,2025-09-12,Alverca,Tondela,1,0,1,0,H
474,Portugais,2025-09-13,Moreirense,Rio Ave,3,1,0,3,H
475,Portugais,2025-09-13,Estoril,AVS,3,1,2,1,H
476,Portugais,2025-09-13,FC Porto,Nacional,1,0,1,0,H
477,Portugais,2025-09-13,Famalicao,Sporting CP,1,2,1,0,A
478,Portugais,2025-09-14,Estrela,Guimaraes,0,2,0,0,A
479,Portugais,2025-09-14,Arouca,Casa Pia,0,2,0,0,A
480,Portugais,2025-09-14,SC Braga,GIL Vicente,0,1,0,0,A
481,Portugais,2025-09-19,Rio Ave,FC Porto,0,3,0,0,A
482,Portugais,2025-09-20,Nacional,Arouca,1,2,0,1,A
483,Portugais,2025-09-20,Santa Clara,Alverca,2,1,1,1,H
484,Portugais,2025-09-20,AVS,Benfica,0,3,0,0,A
485,Portugais,2025-09-20,Guimaraes,SC Braga,1,1,1,0,D
486,Portugais,2025-09-21,Tondela,Estrela,0,0,0,0,D
487,Portugais,2025-09-21,GIL Vicente,Estoril,2,0,1,1,H
488,Portugais,2025-09-21,Casa Pia,Famalicao,1,1,0,1,D
489,Portugais,2025-09-22,Sporting CP,Moreirense,3,0,0,3,H
