league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
russie,2025,2025-07-18,Dynamo,Baltika,1,1,0,1,D
russie,2025,2025-07-19,Akron,Krylia Sovetov,1,1,1,0,D
russie,2025,2025-07-19,Lokomotiv,FC Sochi,3,0,0,3,H
russie,2025,2025-07-19,Spartak Moscow,Dinamo Makhachkala,1,0,1,0,H
russie,2025,2025-07-20,Nizhny Novgorod,FC Krasnodar,0,3,0,0,A
russie,2025,2025-07-20,Zenit,FC Rostov,2,1,0,2,H
russie,2025,2025-07-20,Akhmat,Rubin,0,2,0,0,A
russie,2025,2025-07-21,FC Orenburg,CSKA Moscow,0,0,0,0,D
russie,2025,2025-07-25,Krylia Sovetov,Nizhny Novgorod,2,0,0,2,H
russie,2025,2025-07-26,Spartak Moscow,Baltika,0,3,0,0,A
russie,2025,2025-07-26,Dynamo,FC Rostov,1,0,1,0,H
russie,2025,2025-07-26,FC Krasnodar,Lokomotiv,1,2,0,1,A
russie,2025,2025-07-26,FC Sochi,Akron,0,4,0,0,A
russie,2025,2025-07-27,CSKA Moscow,Akhmat,2,1,2,0,H
russie,2025,2025-07-27,FC Orenburg,Dinamo Makhachkala,1,1,0,1,D
russie,2025,2025-07-27,Rubin,Zenit,2,2,0,2,D
russie,2025,2025-08-02,FC Rostov,Krylia Sovetov,1,4,0,1,A
russie,2025,2025-08-02,FC Krasnodar,Dynamo,1,0,0,1,H
russie,2025,2025-08-02,Nizhny Novgorod,Lokomotiv,2,3,0,2,A
russie,2025,2025-08-03,Akron,Spartak Moscow,1,1,0,1,D
russie,2025,2025-08-03,Baltika,FC Orenburg,3,2,1,2,H
russie,2025,2025-08-03,Zenit,CSKA Moscow,1,1,0,1,D
russie,2025,2025-08-03,Dinamo Makhachkala,Akhmat,1,0,1,0,H
russie,2025,2025-08-04,Rubin,FC Sochi,2,1,1,1,H
russie,2025,2025-08-08,Dinamo Makhachkala,Akron,1,1,1,0,D
russie,2025,2025-08-09,Krylia Sovetov,Baltika,1,1,1,0,D
russie,2025,2025-08-09,CSKA Moscow,Rubin,5,1,4,1,H
russie,2025,2025-08-09,Lokomotiv,Spartak Moscow,4,2,1,3,H
russie,2025,2025-08-09,Akhmat,Zenit,1,0,1,0,H
russie,2025,2025-08-10,FC Orenburg,FC Krasnodar,0,1,0,0,A
russie,2025,2025-08-10,FC Sochi,Dynamo,1,1,0,1,D
russie,2025,2025-08-10,FC Rostov,Nizhny Novgorod,1,0,0,1,H
russie,2025,2025-08-16,Baltika,Lokomotiv,1,1,1,0,D
russie,2025,2025-08-16,Spartak Moscow,Zenit,2,2,2,0,D
russie,2025,2025-08-16,Akhmat,Krylia Sovetov,3,1,1,2,H
