,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
0,2024-08-17,Genoa,Inter,2,2,1,1,D,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
1,2024-08-17,Parma,Fiorentina,1,1,1,0,D,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
2,2024-08-17,AC Milan,Torino,2,2,0,2,D,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
3,2024-08-17,Empoli,Monza,0,0,0,0,D,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
4,2024-08-18,Bologna,Udinese,1,1,0,1,D,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
5,2024-08-18,Verona,Napoli,3,0,0,3,H,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
6,2024-08-18,Lazio,Venezia,3,1,2,1,H,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
7,2024-08-18,Cagliari,AS Roma,0,0,0,0,D,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
8,2024-08-19,Lecce,Atalanta,0,4,0,0,A,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
9,2024-08-19,Juventus,Como,3,0,2,1,H,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1
10,2024-08-24,Udinese,Lazio,2,1,1,1,H,1,3,1,1,1,2,0,1,1,3,D,W,M,M,M,M,M,M,M,M,2
11,2024-08-24,Parma,AC Milan,2,1,1,1,H,1,2,1,2,1,0,0,2,1,1,D,D,M,M,M,M,M,M,M,M,2
12,2024-08-24,Inter,Lecce,2,0,1,1,H,2,0,2,4,1,0,1,0,1,0,D,L,M,M,M,M,M,M,M,M,2
13,2024-08-24,Monza,Genoa,0,1,0,0,A,0,2,0,2,0,1,0,1,1,1,D,D,M,M,M,M,M,M,M,M,2
14,2024-08-25,Fiorentina,Venezia,0,0,0,0,D,1,1,1,3,0,1,1,2,1,0,D,L,M,M,M,M,M,M,M,M,2
15,2024-08-25,Torino,Atalanta,2,1,1,1,H,2,4,2,0,2,0,0,0,1,3,D,W,M,M,M,M,M,M,M,M,2
16,2024-08-25,Napoli,Bologna,3,0,1,2,H,0,1,3,1,3,0,0,1,0,1,L,D,M,M,M,M,M,M,M,M,2
17,2024-08-25,AS Roma,Empoli,1,2,0,1,A,0,0,0,0,0,0,0,0,1,1,D,D,M,M,M,M,M,M,M,M,2
18,2024-08-26,Cagliari,Como,1,1,1,0,D,0,0,0,3,0,1,0,2,1,0,D,L,M,M,M,M,M,M,M,M,2
19,2024-08-26,Verona,Juventus,0,3,0,0,A,3,3,0,0,0,2,3,1,3,3,W,W,M,M,M,M,M,M,M,M,2
20,2024-08-30,Venezia,Torino,0,1,0,0,A,1,4,3,3,1,3,2,1,1,4,D,W,L,D,M,M,M,M,M,M,3
21,2024-08-30,Inter,Atalanta,4,0,2,2,H,4,5,2,2,2,1,2,1,4,3,W,L,D,W,M,M,M,M,M,M,3
22,2024-08-31,Bologna,Empoli,1,1,1,0,D,1,2,4,1,2,1,2,0,1,4,L,W,D,D,M,M,M,M,M,M,3
23,2024-08-31,Lecce,Cagliari,1,0,1,0,H,0,1,6,1,1,1,1,0,0,2,L,D,L,D,M,M,M,M,M,M,3
24,2024-08-31,Lazio,AC Milan,2,2,0,2,D,4,3,3,4,3,1,2,3,3,1,L,L,W,D,M,M,M,M,M,M,3
25,2024-08-31,Napoli,Parma,2,1,0,2,H,3,3,3,2,4,2,2,1,3,4,W,W,L,D,M,M,M,M,M,M,3
26,2024-09-01,Genoa,Verona,0,2,0,0,A,3,3,2,3,1,0,1,3,4,3,W,L,D,W,M,M,M,M,M,M,3
27,2024-09-01,Fiorentina,Monza,2,2,1,1,D,1,0,1,1,0,0,1,0,2,1,D,L,D,D,M,M,M,M,M,M,3
28,2024-09-01,Udinese,Como,1,0,1,0,H,3,1,2,4,2,1,1,3,4,1,W,D,D,L,M,M,M,M,M,M,3
29,2024-09-01,Juventus,AS Roma,0,0,0,0,D,6,1,0,2,2,0,1,1,6,1,W,L,W,D,M,M,M,M,M,M,3
30,2024-09-14,Como,Bologna,2,2,1,1,D,1,2,5,5,1,3,4,2,1,2,L,D,D,L,L,D,M,M,M,M,4
31,2024-09-14,Empoli,Juventus,0,0,0,0,D,3,6,2,0,1,2,1,1,5,7,D,D,W,W,D,W,M,M,M,M,4
32,2024-09-14,AC Milan,Venezia,4,0,4,0,H,5,1,6,4,3,1,3,2,2,1,D,L,L,D,D,L,M,M,M,M,4
33,2024-09-15,Genoa,AS Roma,1,1,0,1,D,3,1,4,2,1,0,1,1,4,2,L,D,W,L,D,D,M,M,M,M,4
34,2024-09-15,Atalanta,Fiorentina,3,2,3,0,H,5,3,6,3,3,1,3,2,3,3,L,D,L,D,W,D,M,M,M,M,4
35,2024-09-15,Torino,Lecce,0,0,0,0,D,5,1,3,6,3,2,1,1,7,3,W,W,W,L,D,L,M,M,M,M,4
36,2024-09-15,Cagliari,Napoli,0,4,0,0,A,1,5,2,4,1,4,1,4,2,6,L,W,D,W,D,L,M,M,M,M,4
37,2024-09-15,Monza,Inter,1,1,0,1,D,2,8,3,2,1,4,1,4,2,7,D,W,L,W,D,D,M,M,M,M,4
38,2024-09-16,Parma,Udinese,2,3,2,0,A,4,4,4,2,4,3,1,1,4,7,L,W,W,W,D,D,M,M,M,M,4
39,2024-09-16,Lazio,Verona,2,1,2,0,H,6,5,5,3,3,0,4,3,4,6,D,W,L,L,W,W,M,M,M,M,4
40,2024-09-20,Cagliari,Empoli,0,2,0,0,A,1,3,6,2,1,1,1,1,2,6,L,D,L,D,D,W,D,D,M,M,5
41,2024-09-20,Verona,Torino,2,3,1,1,A,6,5,5,3,0,3,5,1,6,8,L,D,W,W,L,W,W,D,M,M,5
42,2024-09-21,Venezia,Genoa,2,0,0,2,H,1,4,8,5,1,1,6,2,1,5,L,D,L,L,D,W,L,D,M,M,5
43,2024-09-21,Juventus,Napoli,0,0,0,0,D,6,9,0,4,2,4,1,4,8,9,D,W,D,W,W,W,W,L,M,M,5
44,2024-09-21,Lecce,Parma,2,2,1,1,D,1,6,6,7,2,6,1,1,4,4,D,L,W,L,L,W,L,D,M,M,5
45,2024-09-22,Fiorentina,Lazio,2,1,0,2,H,5,8,6,6,1,5,5,4,3,7,L,W,D,D,D,L,D,W,M,M,5
46,2024-09-22,Monza,Bologna,1,2,1,0,A,3,4,4,7,1,4,2,3,3,3,D,D,D,D,L,L,D,D,M,M,5
47,2024-09-22,AS Roma,Udinese,3,0,1,2,H,2,7,3,4,1,3,1,3,3,10,D,W,D,W,L,W,D,D,M,M,5
48,2024-09-22,Inter,AC Milan,1,2,1,0,A,9,9,3,6,5,7,4,3,8,5,D,W,W,D,W,L,D,D,M,M,5
49,2024-09-24,Atalanta,Como,2,3,1,1,A,8,3,8,7,6,2,3,5,6,2,W,D,L,L,L,D,W,L,M,M,5
50,2024-09-27,AC Milan,Lecce,3,0,3,0,H,11,3,7,8,7,3,4,2,8,5,W,D,W,D,D,W,L,L,D,L,6
51,2024-09-28,Udinese,Inter,2,3,1,1,A,7,10,7,5,5,6,4,4,10,8,L,L,W,D,W,W,W,W,D,D,6
52,2024-09-28,Genoa,Juventus,0,3,0,0,A,4,6,7,0,3,2,2,1,5,9,L,D,D,D,L,D,W,W,D,W,6
53,2024-09-28,Bologna,Atalanta,1,1,0,1,D,6,10,8,11,4,7,4,4,6,6,W,L,D,W,D,L,L,L,D,W,6
54,2024-09-29,Torino,Lazio,2,3,0,2,A,8,9,5,8,4,7,2,4,11,7,W,L,D,W,W,D,W,L,D,W,6
55,2024-09-29,AS Roma,Venezia,2,1,0,2,H,5,3,3,8,2,1,3,8,6,4,W,W,D,L,D,L,L,D,D,L,6
56,2024-09-29,Como,Verona,3,2,1,2,H,6,8,9,8,3,1,6,6,5,6,W,L,D,L,L,W,D,L,L,W,6
57,2024-09-29,Empoli,Fiorentina,0,0,0,0,D,5,7,2,7,1,1,1,7,9,6,W,W,D,L,D,D,W,D,D,D,6
58,2024-09-29,Napoli,Monza,2,0,2,0,H,9,4,4,6,4,2,4,2,10,3,D,L,W,D,W,D,W,L,L,D,6
59,2024-09-30,Parma,Cagliari,2,3,0,2,A,8,1,9,8,7,1,2,1,5,2,D,L,L,L,L,L,W,D,D,D,6
60,2024-10-04,Napoli,Como,3,1,1,2,H,11,9,4,11,6,4,4,8,13,8,W,W,D,W,W,D,W,L,W,D,7
61,2024-10-04,Verona,Venezia,2,1,1,1,H,10,4,11,10,3,3,7,8,6,4,L,L,L,W,L,L,W,L,L,D,7
62,2024-10-05,Udinese,Lecce,1,0,0,1,H,9,3,10,11,6,3,5,5,10,5,L,L,L,D,W,D,W,W,W,L,7
63,2024-10-05,Atalanta,Genoa,5,1,1,4,H,11,4,12,10,8,3,4,2,7,5,D,L,L,L,W,D,L,L,L,W,7
