,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,HTGS,ATGS,HTGC,ATGC
0,2024-08-17,Genoa,Inter,2,2,D,1,1,D,6.5,1.53,4.0,0,0,0,0
1,2024-08-17,Parma,Fiorentina,1,1,D,1,0,H,3.5,2.2,3.2,0,0,0,0
2,2024-08-17,Empoli,Monza,0,0,D,0,0,D,2.5,3.0,3.2,0,0,0,0
3,2024-08-17,Milan,Torino,2,2,D,0,1,A,1.62,5.75,3.8,0,0,0,0
4,2024-08-18,Bologna,Udinese,1,1,D,0,0,D,1.91,4.33,3.4,0,0,0,0
5,2024-08-18,Verona,Napoli,3,0,H,0,0,D,4.75,1.75,3.6,0,0,0,0
6,2024-08-18,Cagliari,Roma,0,0,D,0,0,D,4.1,1.95,3.4,0,0,0,0
7,2024-08-18,Lazio,Venezia,3,1,H,2,1,H,1.48,7.5,4.1,0,0,0,0
8,2024-08-19,Lecce,Atalanta,0,4,A,0,2,A,4.2,1.85,3.7,0,0,0,0
9,2024-08-19,Juventus,Como,3,0,H,2,0,H,1.33,9.5,5.0,0,0,0,0
10,2024-08-24,Parma,Milan,2,1,H,1,0,H,4.75,1.7,3.9,1,2,1,2
11,2024-08-24,Udinese,Lazio,2,1,H,1,0,H,3.3,2.35,3.1,1,3,1,1
12,2024-08-24,Inter,Lecce,2,0,H,1,0,H,1.2,13.0,7.0,2,0,2,4
13,2024-08-24,Monza,Genoa,0,1,A,0,1,A,2.6,2.88,3.1,0,2,0,2
14,2024-08-25,Fiorentina,Venezia,0,0,D,0,0,D,1.42,7.0,4.75,1,1,1,3
15,2024-08-25,Torino,Atalanta,2,1,H,1,1,D,3.2,2.38,3.1,2,4,2,0
16,2024-08-25,Napoli,Bologna,3,0,H,1,0,H,1.9,4.1,3.5,0,1,3,1
17,2024-08-25,Roma,Empoli,1,2,A,0,1,A,1.5,6.5,4.33,0,0,0,0
18,2024-08-26,Cagliari,Como,1,1,D,1,0,H,2.1,3.4,3.4,0,0,0,3
19,2024-08-26,Verona,Juventus,0,3,A,0,2,A,5.25,1.67,3.75,3,3,0,0
20,2024-08-30,Venezia,Torino,0,1,A,0,0,D,3.4,2.2,3.3,1,4,3,3
21,2024-08-30,Inter,Atalanta,4,0,H,2,0,H,1.57,5.5,4.33,4,5,2,2
22,2024-08-31,Bologna,Empoli,1,1,D,1,1,D,1.62,6.0,3.75,1,2,4,1
23,2024-08-31,Lecce,Cagliari,1,0,H,1,0,H,2.25,3.4,3.2,0,1,6,1
24,2024-08-31,Lazio,Milan,2,2,D,0,1,A,2.9,2.4,3.4,4,3,3,4
25,2024-08-31,Napoli,Parma,2,1,H,0,1,A,1.48,7.0,4.33,3,3,3,2
26,2024-09-01,Fiorentina,Monza,2,2,D,1,2,A,1.67,5.0,3.9,1,0,1,1
27,2024-09-01,Genoa,Verona,0,2,A,0,0,D,2.0,4.0,3.3,3,3,2,3
28,2024-09-01,Juventus,Roma,0,0,D,0,0,D,1.75,5.0,3.6,6,1,0,2
29,2024-09-01,Udinese,Como,1,0,H,1,0,H,2.05,3.75,3.4,3,1,2,4
30,2024-09-14,Como,Bologna,2,2,D,1,0,H,3.0,2.45,3.25,1,2,5,5
31,2024-09-14,Empoli,Juventus,0,0,D,0,0,D,5.25,1.7,3.6,3,6,2,0
32,2024-09-14,Milan,Venezia,4,0,H,4,0,H,1.3,9.0,5.75,5,1,6,4
33,2024-09-15,Genoa,Roma,1,1,D,0,1,A,3.25,2.25,3.3,3,1,4,2
34,2024-09-15,Atalanta,Fiorentina,3,2,H,3,2,H,1.8,4.5,3.6,5,3,6,3
35,2024-09-15,Torino,Lecce,0,0,D,0,0,D,1.8,4.75,3.5,5,1,3,6
36,2024-09-15,Cagliari,Napoli,0,4,A,0,1,A,4.33,1.8,3.75,1,5,2,4
37,2024-09-15,Monza,Inter,1,1,D,0,0,D,8.0,1.4,4.75,2,8,3,2
38,2024-09-16,Parma,Udinese,2,3,A,2,0,H,2.25,3.2,3.4,4,4,4,2
39,2024-09-16,Lazio,Verona,2,1,H,2,1,H,1.62,6.0,3.8,6,5,5,3
40,2024-09-20,Cagliari,Empoli,0,2,A,0,1,A,2.15,3.4,3.4,1,3,6,2
41,2024-09-20,Verona,Torino,2,3,A,1,2,A,2.7,2.8,3.0,6,5,5,3
42,2024-09-21,Venezia,Genoa,2,0,H,0,0,D,3.25,2.35,3.2,1,4,8,5
43,2024-09-21,Juventus,Napoli,0,0,D,0,0,D,2.2,3.3,3.4,6,9,0,4
44,2024-09-21,Lecce,Parma,2,2,D,1,0,H,2.2,3.25,3.5,1,6,6,7
45,2024-09-22,Fiorentina,Lazio,2,1,H,0,1,A,2.25,3.2,3.4,5,8,6,6
46,2024-09-22,Monza,Bologna,1,2,A,1,1,D,3.3,2.4,3.1,3,4,4,7
47,2024-09-22,Roma,Udinese,3,0,H,1,0,H,1.62,5.25,4.2,2,7,3,4
48,2024-09-22,Inter,Milan,1,2,A,1,1,D,1.65,5.25,4.0,9,9,3,6
49,2024-09-24,Atalanta,Como,2,3,A,1,0,H,1.44,7.0,4.5,8,3,8,7
50,2024-09-27,Milan,Lecce,3,0,H,3,0,H,1.33,8.0,5.75,11,3,7,8
51,2024-09-28,Udinese,Inter,2,3,A,1,2,A,7.0,1.48,4.33,7,10,7,5
52,2024-09-28,Genoa,Juventus,0,3,A,0,0,D,5.5,1.7,3.5,4,6,7,0
53,2024-09-28,Bologna,Atalanta,1,1,D,0,0,D,3.0,2.4,3.3,6,10,8,11
54,2024-09-29,Torino,Lazio,2,3,A,0,1,A,2.9,2.55,3.1,8,9,5,8
55,2024-09-29,Como,Verona,3,2,H,1,0,H,2.1,3.6,3.4,6,8,9,8
56,2024-09-29,Roma,Venezia,2,1,H,0,1,A,1.4,8.0,4.75,5,3,3,8
57,2024-09-29,Empoli,Fiorentina,0,0,D,0,0,D,3.4,2.2,3.3,5,7,2,7
58,2024-09-29,Napoli,Monza,2,0,H,2,0,H,1.36,8.5,5.0,9,4,4,6
59,2024-09-30,Parma,Cagliari,2,3,A,0,1,A,2.1,3.4,3.6,8,1,9,8
60,2024-10-04,Napoli,Como,3,1,H,1,1,D,1.45,7.0,4.33,11,9,4,11
61,2024-10-04,Verona,Venezia,2,1,H,1,1,D,2.5,2.9,3.2,10,4,11,10
62,2024-10-05,Udinese,Lecce,1,0,H,0,0,D,2.2,3.3,3.3,9,3,10,11
63,2024-10-05,Atalanta,Genoa,5,1,H,1,0,H,1.45,6.5,4.75,11,4,12,10
