league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Turquie,2025,2025-08-08,Gazişehir Gaziantep,Galatasaray,0,3,0,0,A
Turquie,2025,2025-08-09,Samsunspor,Genclerbirligi,2,1,1,1,H
Turquie,2025,2025-08-09,Antalyaspor,Kasimpasa,2,1,2,0,H
Turquie,2025,2025-08-10,Rizespor,Goztepe,0,3,0,0,A
Turquie,2025,2025-08-10,Eyüpspor,Konyaspor,1,4,0,1,A
Turquie,2025,2025-08-11,Trabzonspor,Kocaelispor,1,0,0,1,H
Turquie,2025,2025-08-15,Galatasaray,Fatih Karagümrük,3,0,1,2,H
Turquie,2025,2025-08-16,Kocaelispor,Samsunspor,0,1,0,0,A
Turquie,2025,2025-08-16,Goztepe,Fenerbahce,0,0,0,0,D
Turquie,2025,2025-08-16,Alanyaspor,Rizespor,0,0,0,0,D
Turquie,2025,2025-08-17,Konyaspor,Gazişehir Gaziantep,3,0,1,2,H
Turquie,2025,2025-08-17,Genclerbirligi,Antalyaspor,0,1,0,0,A
Turquie,2025,2025-08-17,Besiktas,Eyüpspor,2,1,1,1,H
Turquie,2025,2025-08-17,Istanbul Basaksehir,Kayserispor,1,1,1,0,D
Turquie,2025,2025-08-18,Kasimpasa,Trabzonspor,0,1,0,0,A
Turquie,2025,2025-08-22,Fatih Karagümrük,Goztepe,0,2,0,0,A
Turquie,2025,2025-08-23,Fenerbahce,Kocaelispor,3,1,1,2,H
Turquie,2025,2025-08-23,Gazişehir Gaziantep,Genclerbirligi,2,1,1,1,H
Turquie,2025,2025-08-24,Trabzonspor,Antalyaspor,1,0,1,0,H
Turquie,2025,2025-08-24,Kayserispor,Galatasaray,0,4,0,0,A
Turquie,2025,2025-08-25,Eyüpspor,Alanyaspor,2,1,1,1,H
Turquie,2025,2025-08-29,Goztepe,Konyaspor,1,1,0,1,D
Turquie,2025,2025-08-30,Kasimpasa,Gazişehir Gaziantep,2,3,0,2,A
Turquie,2025,2025-08-30,Kocaelispor,Kayserispor,1,1,0,1,D
Turquie,2025,2025-08-30,Galatasaray,Rizespor,3,1,1,2,H
Turquie,2025,2025-08-30,Antalyaspor,Fatih Karagümrük,1,2,1,0,A
Turquie,2025,2025-08-31,Istanbul Basaksehir,Eyüpspor,0,0,0,0,D
Turquie,2025,2025-08-31,Genclerbirligi,Fenerbahce,1,3,0,1,A
Turquie,2025,2025-08-31,Alanyaspor,Besiktas,2,0,1,1,H
Turquie,2025,2025-08-31,Trabzonspor,Samsunspor,1,1,1,0,D
Turquie,2025,2025-09-13,Eyüpspor,Galatasaray,0,2,0,0,A
Turquie,2025,2025-09-13,Fatih Karagümrük,Kasimpasa,0,1,0,0,A
Turquie,2025,2025-09-13,Samsunspor,Antalyaspor,1,2,0,1,A
Turquie,2025,2025-09-13,Besiktas,Istanbul Basaksehir,2,1,0,2,H
Turquie,2025,2025-09-13,Konyaspor,Alanyaspor,1,2,0,1,A
Turquie,2025,2025-09-14,Kayserispor,Goztepe,1,1,0,1,D
Turquie,2025,2025-09-14,Fenerbahce,Trabzonspor,1,0,1,0,H
Turquie,2025,2025-09-14,Gazişehir Gaziantep,Kocaelispor,2,0,0,2,H
Turquie,2025,2025-09-15,Rizespor,Genclerbirligi,1,0,0,1,H
Turquie,2025,2025-09-17,Fenerbahce,Alanyaspor,2,2,0,2,D
Turquie,2025,2025-09-17,Fatih Karagümrük,Istanbul Basaksehir,0,2,0,0,A
Turquie,2025,2025-09-17,Samsunspor,Kasimpasa,0,0,0,0,D
Turquie,2025,2025-09-19,Goztepe,Besiktas,3,0,2,1,H
Turquie,2025,2025-09-20,Genclerbirligi,Eyüpspor,1,0,1,0,H
Turquie,2025,2025-09-20,Trabzonspor,Gazişehir Gaziantep,1,1,0,1,D
Turquie,2025,2025-09-20,Antalyaspor,Kayserispor,1,1,0,1,D
Turquie,2025,2025-09-21,Istanbul Basaksehir,Alanyaspor,1,1,1,0,D
Turquie,2025,2025-09-21,Kocaelispor,Rizespor,1,1,1,0,D
Turquie,2025,2025-09-21,Kasimpasa,Fenerbahce,1,1,0,1,D
Turquie,2025,2025-09-21,Samsunspor,Fatih Karagümrük,3,2,0,3,H
Turquie,2025,2025-09-22,Galatasaray,Konyaspor,3,1,2,1,H
Turquie,2025,2025-09-24,Kayserispor,Besiktas,0,4,0,0,A
Turquie,2025,2025-09-26,Alanyaspor,Galatasaray,0,1,0,0,A
Turquie,2025,2025-09-27,Gazişehir Gaziantep,Samsunspor,2,2,1,1,D
Turquie,2025,2025-09-27,Eyüpspor,Goztepe,0,0,0,0,D
Turquie,2025,2025-09-27,Fatih Karagümrük,Trabzonspor,3,4,1,2,A
Turquie,2025,2025-09-28,Konyaspor,Istanbul Basaksehir,2,1,2,0,H
Turquie,2025,2025-09-28,Rizespor,Kasimpasa,1,2,0,1,A
Turquie,2025,2025-09-28,Fenerbahce,Antalyaspor,2,0,0,2,H
Turquie,2025,2025-09-28,Kayserispor,Genclerbirligi,1,1,0,1,D
Turquie,2025,2025-09-29,Besiktas,Kocaelispor,3,1,2,1,H
