fixture_id,date,home_team,away_team,score_home,score_away
1213754,2024-08-16T18:45:00+00:00,Le Havre,Paris Saint Germain,1,4
1213747,2024-08-17T15:00:00+00:00,Stade Brestois 29,Marseille,1,5
1213752,2024-08-17T17:00:00+00:00,Reims,Lille,0,2
1213751,2024-08-17T19:00:00+00:00,Monaco,Saint Etienne,1,0
1213753,2024-08-18T13:00:00+00:00,Auxerre,Nice,2,1
1213750,2024-08-18T15:00:00+00:00,Angers,Lens,0,1
1213748,2024-08-18T15:00:00+00:00,Montpellier,Strasbourg,1,1
1213749,2024-08-18T15:00:00+00:00,Toulouse,Nantes,0,0
1213755,2024-08-18T18:45:00+00:00,Rennes,Lyon,3,0
1213756,2024-08-23T18:45:00+00:00,Paris Saint Germain,Montpellier,6,0
1213763,2024-08-24T15:00:00+00:00,Lyon,Monaco,0,2
1213760,2024-08-24T17:00:00+00:00,Lille,Angers,2,0
1213759,2024-08-24T19:00:00+00:00,Saint Etienne,Le Havre,0,2
1213762,2024-08-25T13:00:00+00:00,Lens,Stade Brestois 29,2,0
1213758,2024-08-25T15:00:00+00:00,Nantes,Auxerre,2,0
1213761,2024-08-25T15:00:00+00:00,Nice,Toulouse,1,1
1213757,2024-08-25T15:00:00+00:00,Strasbourg,Rennes,3,1
1213764,2024-08-25T18:45:00+00:00,Marseille,Reims,2,2
1213766,2024-08-30T18:45:00+00:00,Lyon,Strasbourg,4,3
1213767,2024-08-31T15:00:00+00:00,Stade Brestois 29,Saint Etienne,4,0
1213768,2024-08-31T17:00:00+00:00,Montpellier,Nantes,1,3
1213773,2024-08-31T19:00:00+00:00,Toulouse,Marseille,1,3
1213770,2024-09-01T13:00:00+00:00,Monaco,Lens,1,1
1213769,2024-09-01T15:00:00+00:00,Angers,Nice,1,4
1213772,2024-09-01T15:00:00+00:00,Reims,Rennes,2,1
1213771,2024-09-01T15:00:00+00:00,Le Havre,Auxerre,3,1
1213765,2024-09-01T18:45:00+00:00,Lille,Paris Saint Germain,1,3
1213780,2024-09-13T18:45:00+00:00,Saint Etienne,Lille,1,0
1213781,2024-09-14T15:00:00+00:00,Marseille,Nice,2,0
1213774,2024-09-14T17:00:00+00:00,Auxerre,Monaco,0,3
1213782,2024-09-14T19:00:00+00:00,Paris Saint Germain,Stade Brestois 29,3,1
1213775,2024-09-15T13:00:00+00:00,Rennes,Montpellier,3,0
1213777,2024-09-15T15:00:00+00:00,Nantes,Reims,1,2
1213779,2024-09-15T15:00:00+00:00,Strasbourg,Angers,1,1
1213778,2024-09-15T15:00:00+00:00,Toulouse,Le Havre,2,0
1213776,2024-09-15T18:45:00+00:00,Lens,Lyon,0,0
1213784,2024-09-20T18:45:00+00:00,Nice,Saint Etienne,8,0
1213789,2024-09-21T15:00:00+00:00,Lille,Strasbourg,3,3
1213790,2024-09-21T17:00:00+00:00,Rennes,Lens,1,1
1213785,2024-09-21T19:00:00+00:00,Reims,Paris Saint Germain,1,1
